Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert
/de/2016_53/leben/738738,11166,10070,00:04:50,8157,"87,48 %","77,49 %","0,00 CHF"
/de/2017_3/basel/740194,10377,9689,00:04:57,8512,"90,47 %","83,39 %","0,00 CHF"
/de/2017_4/schweiz/740748,8079,7660,00:02:32,7417,"85,16 %","82,88 %","0,00 CHF"
/de/2017_1/kultur/739630,7933,7509,00:03:24,6932,"92,25 %","87,32 %","0,00 CHF"
/de/2017_2/basel/,7822,5683,00:01:03,511,"39,73 %","24,53 %","0,00 CHF"
/de/2017_1/basel/,7338,5353,00:01:02,460,"38,91 %","24,38 %","0,00 CHF"
/de/2017_3/basel/,7331,5384,00:01:02,448,"33,93 %","26,75 %","0,00 CHF"
/de/2017_4/basel/,7205,5083,00:01:00,373,"36,46 %","24,55 %","0,00 CHF"
/de/2017_1/basel/738891,7095,6575,00:02:58,5332,"85,60 %","74,18 %","0,00 CHF"
/de/2017_4/basel/740763,7036,6628,00:03:04,4867,"88,82 %","72,75 %","0,00 CHF"
/omniticker/,6812,2004,00:01:41,715,"36,78 %","12,90 %","0,00 CHF"
/de/2017_3/schweiz/740240,6549,6118,00:04:13,5430,"90,99 %","83,37 %","0,00 CHF"
/de/2017_3/basel/740339,6426,5991,00:04:13,4344,"86,49 %","72,27 %","0,00 CHF"
/de/2017_2/basel/739636,5856,5223,00:04:19,2280,"73,11 %","52,72 %","0,00 CHF"
/de/2017_2/leben/739595,5672,5278,00:04:29,4447,"91,45 %","81,95 %","0,00 CHF"
/de/2017_1/international/739238,5632,5056,00:05:25,4513,"87,57 %","81,16 %","0,00 CHF"
/de/2017_3/basel/740440,5395,5059,00:06:40,3701,"90,65 %","79,02 %","0,00 CHF"
/de/2016_26/basel/740200,5064,4675,00:06:05,2919,"84,21 %","68,66 %","0,00 CHF"
/de/2017_3/basel/740307,4794,4482,00:02:47,3134,"88,99 %","70,03 %","0,00 CHF"
/de/2017_2/basel/739842,4538,4243,00:03:08,2398,"87,36 %","65,25 %","0,00 CHF"
/de/2017_4/sport/,4483,3492,00:01:04,221,"37,56 %","31,99 %","0,00 CHF"
/de/2017_1/leben/739135,4395,4082,00:03:11,3342,"86,86 %","76,59 %","0,00 CHF"
/de/2017_1/sport/739452,4253,3999,00:03:45,2495,"88,82 %","74,94 %","0,00 CHF"
/de/blogs/bildstoff/740250,4227,3898,00:02:49,3196,"92,49 %","84,15 %","0,00 CHF"
/classifieds,4203,2927,00:01:20,1454,"55,05 %","34,86 %","0,00 CHF"
/de/2017_3/sport/,4078,3259,00:01:16,254,"43,70 %","38,30 %","0,00 CHF"
/de/2017_1/leben/738969,4015,3754,00:03:47,2929,"89,04 %","77,01 %","0,00 CHF"
/de/2017_2/sport/,3993,3062,00:01:02,212,"41,51 %","31,03 %","0,00 CHF"
/de/2017_1/sport/,3733,2921,00:01:11,239,"45,19 %","33,73 %","0,00 CHF"
/de/2017_2/basel/739642,3711,3361,00:03:50,1124,"64,41 %","43,28 %","0,00 CHF"
/de/2017_2/basel/739832,3447,3103,00:03:35,2177,"86,77 %","70,26 %","0,00 CHF"
/de/2017_4/basel/741051,3392,3122,00:04:02,1720,"87,33 %","63,03 %","0,00 CHF"
/de/2017_3/leben/740407,3236,3063,00:03:26,2822,"91,74 %","87,30 %","0,00 CHF"
/de/2017_3/basel/740481,3230,2992,00:04:03,1919,"78,17 %","62,41 %","0,00 CHF"
/de/2016_18/schweiz/717817,3183,2975,00:05:07,2950,"90,27 %","89,26 %","0,00 CHF"
/de/2017_4/schweiz/,3152,2313,00:00:51,80,"42,50 %","14,94 %","0,00 CHF"
/de/2017_1/schweiz/,3144,2456,00:01:05,119,"44,54 %","19,82 %","0,00 CHF"
/de/2017_4/international/,3114,2168,00:01:08,128,"34,38 %","19,75 %","0,00 CHF"
/de/2017_2/schweiz/,3096,2421,00:01:16,99,"40,40 %","21,12 %","0,00 CHF"
/de/2017_1/schweiz/739248,3088,2796,00:04:20,2289,"87,72 %","76,46 %","0,00 CHF"
/de/2017_4/sport/740799,3076,2876,00:03:14,1260,"90,32 %","65,21 %","0,00 CHF"
/de/2017_3/international/740483,3043,2703,00:06:56,1771,"88,88 %","72,30 %","0,00 CHF"
/de/2017_3/schweiz/,3029,2360,00:01:04,115,"44,35 %","19,31 %","0,00 CHF"
/de/2017_1/sport/739052,3017,2849,00:03:32,1565,"86,90 %","68,48 %","0,00 CHF"
/de/2017_2/basel/739711,2946,2702,00:02:32,965,"82,90 %","49,46 %","0,00 CHF"
/de/2017_1/basel/738972,2922,2603,00:06:19,1672,"86,78 %","71,80 %","0,00 CHF"
/de/2017_4/basel/741074,2909,2694,00:03:28,1387,"76,86 %","56,96 %","0,00 CHF"
/de/2016_53/leben/738521,2896,2694,00:03:19,1917,"86,28 %","71,65 %","0,00 CHF"
/de/2017_3/basel/740060,2860,2700,00:02:06,2224,"87,32 %","77,55 %","0,00 CHF"
/de/2017_1/kultur/739575,2802,2591,00:03:31,2026,"85,93 %","74,80 %","0,00 CHF"
/de/2017_3/international/,2784,2066,00:01:03,137,"40,15 %","23,02 %","0,00 CHF"
/de/2017_3/leben/740359,2753,2586,00:04:01,1886,"90,93 %","77,08 %","0,00 CHF"
/de/2016_53/basel/738736,2718,2484,00:05:00,1496,"88,17 %","67,84 %","0,00 CHF"
/de/2017_3/basel/740290,2671,2461,00:03:56,1411,"77,68 %","58,89 %","0,00 CHF"
/de/2017_1/sport/738899,2607,2329,00:05:27,921,"79,91 %","65,71 %","0,00 CHF"
/de/2017_1/sport/739258,2583,2467,00:04:28,1908,"91,56 %","80,95 %","0,00 CHF"
/de/2017_3/international/740285,2571,2427,00:04:41,1850,"90,05 %","78,45 %","0,00 CHF"
/de/blogs/,2499,1727,00:00:31,233,"11,16 %","35,93 %","0,00 CHF"
/de/2017_2/basel/739519,2490,2290,00:04:50,1132,"74,29 %","56,02 %","0,00 CHF"
/de/2017_1/international/,2464,1837,00:01:25,113,"35,40 %","22,69 %","0,00 CHF"
/de/2017_2/basel/739537,2459,2225,00:02:14,969,"79,77 %","60,02 %","0,00 CHF"
/de/2017_2/international/739442,2413,2083,00:05:05,954,"84,28 %","57,73 %","0,00 CHF"
/de/2017_2/international/,2411,1830,00:01:26,107,"42,99 %","25,09 %","0,00 CHF"
/de/2017_2/basel/739661,2399,2226,00:02:36,1891,"88,74 %","79,28 %","0,00 CHF"
/de/2017_1/leben/738959,2391,2100,00:03:43,845,"72,43 %","51,19 %","0,00 CHF"
/de/2017_3/kultur/,2385,1843,00:01:05,79,"30,38 %","24,11 %","0,00 CHF"
/de/2017_5/basel/,2369,1710,00:01:01,97,"35,05 %","23,98 %","0,00 CHF"
/de/2017_4/kultur/,2341,1831,00:01:10,71,"40,85 %","23,88 %","0,00 CHF"
/de/2017_2/basel/739605,2320,1964,00:03:24,576,"68,75 %","44,18 %","0,00 CHF"
/de/2017_4/basel/740976,2320,2083,00:02:46,567,"80,60 %","46,64 %","0,00 CHF"
/de/2013_51/kultur/,2308,20,00:10:51,20,"5,00 %","0,87 %","0,00 CHF"
/de/2017_5/sport/741255,2297,2181,00:03:37,523,"72,85 %","46,32 %","0,00 CHF"
/de/2017_2/kultur/,2269,1854,00:01:20,79,"51,90 %","30,10 %","0,00 CHF"
/de/2017_2/basel/739734,2245,2108,00:02:43,1591,"85,48 %","72,03 %","0,00 CHF"
/de/2017_2/basel/739562,2235,2024,00:04:14,841,"69,68 %","49,35 %","0,00 CHF"
/de/2015_18/international/686500,2232,2119,00:03:36,2110,"91,42 %","90,55 %","0,00 CHF"
/de/2017_1/kultur/,2190,1757,00:01:03,62,"41,94 %","26,48 %","0,00 CHF"
/de/2017_2/basel/739822,2176,2019,00:02:52,695,"82,73 %","50,74 %","0,00 CHF"
/de/2017_3/kultur/740404,2176,1978,00:03:54,821,"73,45 %","55,33 %","0,00 CHF"
/de/2017_4/sport/741196,2146,2005,00:04:40,1180,"90,76 %","70,97 %","0,00 CHF"
/de/2017_2/basel/739714,2076,1969,00:03:08,1321,"91,45 %","71,97 %","0,00 CHF"
/de/2017_2/kultur/739840,2062,1917,00:02:49,1301,"86,78 %","70,03 %","0,00 CHF"
/de/2017_4/schweiz/740733,2025,1810,00:04:23,1015,"84,53 %","62,67 %","0,00 CHF"
/de/2017_1/basel/739393,2020,1831,00:03:46,454,"66,52 %","46,19 %","0,00 CHF"
/de/2017_1/basel/739143,2017,1807,00:03:12,666,"77,33 %","52,90 %","0,00 CHF"
/de/2017_4/basel/740766,2013,1915,00:04:31,1114,"87,07 %","67,31 %","0,00 CHF"
/de/2017_4/sport/740701,2001,1952,00:04:01,1476,"96,75 %","85,76 %","0,00 CHF"
/de/2017_4/basel/741040,1998,1735,00:04:52,723,"61,96 %","48,05 %","0,00 CHF"
/wetter,1952,1817,00:02:37,209,"57,89 %","63,52 %","0,00 CHF"
/de/2017_2/sport/739846,1943,1705,00:03:10,933,"85,53 %","66,39 %","0,00 CHF"
/de/2017_4/sport/740862,1941,1755,00:04:06,364,"79,67 %","57,50 %","0,00 CHF"
/de/2014_29/dialog/,1937,315,00:04:38,291,"17,18 %","11,56 %","0,00 CHF"
/de/2017_3/basel/740452,1909,1788,00:03:40,1329,"87,36 %","73,60 %","0,00 CHF"
/de/2017_4/basel/740774,1879,1765,00:03:06,625,"72,80 %","49,33 %","0,00 CHF"
/de/2017_1/basel/738888,1878,1747,00:03:30,1420,"88,52 %","77,21 %","0,00 CHF"
/de/2017_1/basel/739115,1863,1735,00:02:43,677,"76,22 %","52,33 %","0,00 CHF"
/de/2017_2/sport/739561,1863,1774,00:03:18,503,"83,50 %","58,94 %","0,00 CHF"
/de/2011_43/basel/,1851,977,00:01:29,947,"14,36 %","16,15 %","0,00 CHF"
/de/2017_2/basel/739568,1831,1658,00:04:15,645,"83,72 %","58,66 %","0,00 CHF"
/de/2017_4/basel/740730,1809,1700,00:01:46,752,"76,86 %","60,09 %","0,00 CHF"
/de/2017_2/basel/739653,1796,1667,00:03:54,267,"65,17 %","40,76 %","0,00 CHF"
/de/2016_52/leben/738320,1787,1669,00:04:27,828,"84,06 %","61,95 %","0,00 CHF"
/de/2017_3/basel/740373,1755,1652,00:02:50,1473,"91,79 %","84,22 %","0,00 CHF"
/de/2017_4/sport/741133,1741,1603,00:03:34,448,"81,47 %","61,00 %","0,00 CHF"
/de/partner/article/709314,1722,1608,00:02:27,1541,"64,24 %","62,72 %","0,00 CHF"
/de/2017_4/sport/741071,1681,1588,00:04:07,1305,"90,57 %","82,21 %","0,00 CHF"
/de/2014_03/kultur/628613,1667,1526,00:04:51,1524,"91,99 %","91,12 %","0,00 CHF"
/de/2015_02/basel/677635,1648,1447,00:04:37,1382,"82,92 %","80,34 %","0,00 CHF"
/de/2017_1/basel/739212,1636,1481,00:03:54,560,"66,43 %","47,19 %","0,00 CHF"
/de/2017_2/kultur/739663,1632,1496,00:03:52,785,"85,10 %","63,66 %","0,00 CHF"
/de/2017_1/basel/738974,1588,1417,00:03:11,574,"74,22 %","50,06 %","0,00 CHF"
/de/2017_1/basel/738989,1580,1413,00:04:11,408,"57,84 %","40,00 %","0,00 CHF"
/de/2017_4/kultur/740985,1554,1461,00:03:35,1046,"87,38 %","75,16 %","0,00 CHF"
/de/2017_3/basel/740182,1543,1391,00:03:04,555,"70,27 %","49,06 %","0,00 CHF"
/de/2017_4/basel/740930,1525,1396,00:05:14,715,"82,66 %","60,92 %","0,00 CHF"
/de/2016_53/schweiz/738724,1510,1297,00:04:12,610,"75,74 %","51,92 %","0,00 CHF"
/de/blogs/bildstoff/739828,1507,1457,00:02:37,496,"88,91 %","57,00 %","0,00 CHF"
/de/2017_4/leben/740929,1501,1325,00:02:05,339,"79,94 %","43,77 %","0,00 CHF"
/de/2017_2/kultur/739662,1498,1241,00:03:53,866,"81,29 %","68,83 %","0,00 CHF"
/de/2017_1/international/739140,1482,1403,00:03:08,1294,"90,65 %","85,16 %","0,00 CHF"
/de/2017_1/sport/739068,1465,1392,00:03:43,317,"76,34 %","56,52 %","0,00 CHF"
/de/2014_47/sport/673598,1460,1371,00:03:53,1364,"91,42 %","90,68 %","0,00 CHF"
/de/2016_21/international/719786,1459,1337,00:04:52,1336,"83,98 %","83,69 %","0,00 CHF"
/de/2017_5/sport/,1449,1111,00:01:04,48,"37,50 %","31,47 %","0,00 CHF"
/de/2016_53/basel/738729,1448,1347,00:03:55,527,"78,37 %","56,42 %","0,00 CHF"
/de/2017_3/basel/740465,1445,1315,00:03:33,469,"80,81 %","52,60 %","0,00 CHF"
/de/2016_52/leben/738319,1444,1289,00:03:16,939,"85,30 %","74,38 %","0,00 CHF"
/de/2017_2/leben/739526,1440,1352,00:03:00,537,"92,36 %","62,01 %","0,00 CHF"
/de/2017_5/basel/741251,1415,1319,00:01:49,162,"69,75 %","38,87 %","0,00 CHF"
/de/2017_2/sport/739680,1393,1316,00:02:59,438,"82,88 %","59,58 %","0,00 CHF"
/de/2017_1/,1390,1040,00:01:05,317,"40,38 %","33,81 %","0,00 CHF"
/de/2017_1/leben/,1387,1077,00:00:52,55,"36,36 %","28,55 %","0,00 CHF"
/de/2017_3/sport/740375,1376,1238,00:02:58,95,"73,68 %","51,82 %","0,00 CHF"
/de/2017_3/basel/740557,1360,1240,00:02:19,120,"75,00 %","39,71 %","0,00 CHF"
/de/blogs/bildstoff/740241,1349,1232,00:03:06,504,"73,41 %","50,33 %","0,00 CHF"
/de/2017_3/kultur/740418,1343,1276,00:02:51,767,"89,44 %","70,07 %","0,00 CHF"
/de/2017_1/basel/739095,1342,1259,00:02:15,916,"84,39 %","67,96 %","0,00 CHF"
/classifieds/view/1630/5-5-zimmer-wohnung-in-kleinbasel,1324,954,00:00:59,45,"68,89 %","20,62 %","0,00 CHF"
/de/2017_1/basel/739057,1322,1193,00:04:38,229,"78,17 %","44,55 %","0,00 CHF"
/de/2017_3/basel/740291,1321,1242,00:02:13,274,"70,07 %","42,24 %","0,00 CHF"
/de/2017_2/kultur/739506,1314,1163,00:03:24,606,"82,34 %","59,97 %","0,00 CHF"
/de/2017_3/,1302,910,00:01:02,243,"33,74 %","31,57 %","0,00 CHF"
/de/2017_4/basel/740663,1295,1186,00:02:15,403,"63,77 %","45,41 %","0,00 CHF"
/classifieds/view/1645/bauernhaus-im-sundgau-elsass-zu-verkaufen,1289,750,00:00:51,57,"54,39 %","21,88 %","0,00 CHF"
/de/2017_4/sport/741068,1284,1190,00:03:56,558,"87,46 %","64,72 %","0,00 CHF"
/de/2017_1/sport/739242,1282,1252,00:04:35,426,"90,38 %","64,04 %","0,00 CHF"
/de/2012_05/basel/385106,1277,1066,00:01:57,1021,"67,78 %","67,35 %","0,00 CHF"
/de/2017_3/kultur/740287,1265,1171,00:02:58,584,"85,96 %","64,51 %","0,00 CHF"
/de/2014_14/sport/655084,1250,1194,00:06:11,1190,"92,86 %","92,80 %","0,00 CHF"
/de/2011_43/sport/,1248,628,00:00:28,611,"0,49 %","3,29 %","0,00 CHF"
/de/2011_43/schweiz/,1245,625,00:00:27,129,"1,55 %","25,46 %","0,00 CHF"
/de/2011_43/international/,1244,623,00:00:21,598,"0,33 %","21,54 %","0,00 CHF"
/de/2016_40/leben/,1243,624,00:00:45,158,"1,27 %","45,37 %","0,00 CHF"
/de/2017_2/sport/739741,1240,1169,00:02:19,440,"84,32 %","61,94 %","0,00 CHF"
/de/2011_43/kultur/,1239,620,00:00:26,609,"0,16 %","9,04 %","0,00 CHF"
/de/2017_4/leben/,1208,975,00:01:27,45,"26,67 %","34,85 %","0,00 CHF"
/de/2017_1/basel/739044,1193,1111,00:02:55,393,"81,93 %","54,82 %","0,00 CHF"
/de/2017_4/,1186,799,00:01:27,224,"32,14 %","31,11 %","0,00 CHF"
/de/2014_28/basel/664044,1183,1106,00:04:53,1055,"88,53 %","86,81 %","0,00 CHF"
/de/2017_2/leben/,1172,957,00:01:13,34,"32,35 %","33,79 %","0,00 CHF"
/de/2017_3/leben/,1169,977,00:01:10,25,"28,00 %","34,13 %","0,00 CHF"
/de/2017_2/leben/739523,1161,1095,00:03:20,470,"85,74 %","55,73 %","0,00 CHF"
/de/2017_4/basel/740944,1151,1026,00:04:05,432,"75,46 %","50,22 %","0,00 CHF"
/de/2017_4/basel/740765,1150,1044,00:03:17,322,"74,22 %","47,48 %","0,00 CHF"
/de/2017_3/schweiz/740074,1146,1055,00:04:35,365,"76,16 %","53,05 %","0,00 CHF"
/de/2017_5/schweiz/741271,1145,1012,00:05:05,433,"78,98 %","55,28 %","0,00 CHF"
