,article_id,published,type,Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert,section
0,727931.0,2016-08-23,news,schweiz/727931,17827.0,16858.0,00:05:05,16047.0,"92,45 %","89,70 %","0,00 CHF",schweiz
1,728002.0,2016-08-28,news,leben/728002,11441.0,10749.0,00:04:30,10247.0,"91,38 %","88,15 %","0,00 CHF",leben
2,726946.0,2016-08-12,news,kultur/726946,10854.0,10257.0,00:05:39,9490.0,"93,32 %","88,94 %","0,00 CHF",kultur
3,726058.0,2016-08-05,news,leben/726058,9813.0,9293.0,00:04:49,8825.0,"93,37 %","90,35 %","0,00 CHF",leben
4,727581.0,2016-08-19,news,basel/727581,9426.0,8780.0,00:04:39,6649.0,"90,92 %","77,55 %","0,00 CHF",basel
5,664044.0,2016-08-06,news,basel/664044,8873.0,7971.0,00:04:17,6529.0,"87,18 %","78,41 %","0,00 CHF",basel
6,728097.0,2016-08-25,news,basel/728097,8565.0,7987.0,00:04:49,6720.0,"89,26 %","80,58 %","0,00 CHF",basel
7,726109.0,2016-08-04,news,schweiz/726109,6952.0,6563.0,00:03:53,5135.0,"89,13 %","76,37 %","0,00 CHF",schweiz
8,726072.0,2016-08-06,news,basel/726072,6928.0,6491.0,00:05:17,5614.0,"92,06 %","84,66 %","0,00 CHF",basel
9,726536.0,2016-08-09,news,basel/726536,6424.0,6038.0,00:03:22,4202.0,"86,58 %","69,97 %","0,00 CHF",basel
10,727261.0,2016-08-22,news,basel/727261,6199.0,5760.0,00:06:11,4344.0,"88,12 %","76,00 %","0,00 CHF",basel
11,727529.0,2016-08-19,news,sport/727529,5691.0,5434.0,00:04:28,4111.0,"91,73 %","80,74 %","0,00 CHF",sport
12,726149.0,2016-08-03,news,basel/726149,5583.0,5112.0,00:03:36,3808.0,"88,84 %","77,59 %","0,00 CHF",basel
13,724700.0,2016-08-03,news,basel/724700,5034.0,4668.0,00:04:15,3050.0,"89,74 %","70,76 %","0,00 CHF",basel
14,726101.0,2016-08-03,news,basel/726101,4882.0,4404.0,00:03:52,2336.0,"78,64 %","59,40 %","0,00 CHF",basel
15,725940.0,2016-08-01,news,basel/725940,4705.0,4319.0,00:03:27,3755.0,"87,03 %","80,06 %","0,00 CHF",basel
16,726828.0,2016-08-11,news,basel/726828,4178.0,3862.0,00:02:50,3269.0,"90,33 %","81,38 %","0,00 CHF",basel
17,726960.0,2016-08-12,news,basel/726960,3900.0,3606.0,00:03:32,1867.0,"86,50 %","58,85 %","0,00 CHF",basel
18,726542.0,2016-08-08,news,schweiz/726542,3836.0,3304.0,00:04:04,1379.0,"79,84 %","54,22 %","0,00 CHF",schweiz
19,728523.0,2016-08-30,news,basel/728523,3771.0,3534.0,00:04:13,2520.0,"91,03 %","73,64 %","0,00 CHF",basel
20,726139.0,2016-08-05,news,basel/726139,3763.0,3365.0,00:05:07,1508.0,"85,34 %","59,87 %","0,00 CHF",basel
21,725649.0,2016-08-02,news,basel/725649,3747.0,3293.0,00:05:15,2008.0,"84,81 %","64,29 %","0,00 CHF",basel
22,727283.0,2016-08-17,news,basel/727283,3617.0,3379.0,00:04:17,2880.0,"91,08 %","82,64 %","0,00 CHF",basel
23,728416.0,2016-08-29,news,basel/728416,3585.0,3340.0,00:04:50,2006.0,"84,65 %","66,97 %","0,00 CHF",basel
24,726067.0,2016-08-02,news,sport/726067,3548.0,3363.0,00:05:28,1755.0,"90,77 %","74,89 %","0,00 CHF",sport
25,728437.0,2016-08-30,news,basel/728437,3446.0,3207.0,00:03:39,2125.0,"83,76 %","67,06 %","0,00 CHF",basel
26,725931.0,2016-07-31,news,sport/725931,3410.0,3169.0,00:02:02,1800.0,"83,61 %","60,91 %","0,00 CHF",sport
27,726926.0,2016-08-14,news,basel/726926,3334.0,3078.0,00:04:35,1774.0,"86,92 %","64,76 %","0,00 CHF",basel
28,727307.0,2016-08-17,news,basel/727307,3319.0,3055.0,00:03:43,1658.0,"81,79 %","59,39 %","0,00 CHF",basel
29,726377.0,2016-08-07,news,basel/726377,3317.0,3113.0,00:04:00,1614.0,"85,13 %","62,50 %","0,00 CHF",basel
30,728131.0,2016-08-26,news,leben/728131,3193.0,3000.0,00:04:46,2293.0,"89,93 %","79,08 %","0,00 CHF",leben
31,728552.0,2016-08-31,news,schweiz/728552,3179.0,2948.0,00:05:41,2328.0,"89,05 %","78,04 %","0,00 CHF",schweiz
32,726729.0,2016-08-12,news,basel/726729,3171.0,2915.0,00:03:28,1684.0,"87,17 %","64,49 %","0,00 CHF",basel
33,726237.0,2016-08-04,news,basel/726237,3100.0,2842.0,00:02:57,1735.0,"78,10 %","61,42 %","0,00 CHF",basel
34,728529.0,2016-08-30,news,sport/728529,3081.0,2867.0,00:02:26,1683.0,"88,65 %","70,37 %","0,00 CHF",sport
35,727959.0,2016-08-24,news,basel/727959,3049.0,2706.0,00:04:10,1206.0,"75,95 %","53,69 %","0,00 CHF",basel
36,726131.0,2016-08-03,news,international/726131,3038.0,2861.0,00:04:39,2604.0,"92,70 %","86,93 %","0,00 CHF",international
37,726338.0,2016-08-07,news,sport/726338,3024.0,2319.0,00:05:36,611.0,"76,76 %","52,12 %","0,00 CHF",sport
38,727818.0,2016-08-22,news,sport/727818,2987.0,2842.0,00:04:20,1583.0,"89,13 %","70,54 %","0,00 CHF",sport
39,726938.0,2016-08-12,news,basel/726938,2947.0,2714.0,00:03:41,1623.0,"77,33 %","60,60 %","0,00 CHF",basel
40,727505.0,2016-08-19,news,basel/727505,2888.0,2704.0,00:02:34,1826.0,"86,47 %","68,35 %","0,00 CHF",basel
41,728481.0,2016-08-31,news,basel/728481,2772.0,2594.0,00:04:32,2452.0,"90,91 %","87,37 %","0,00 CHF",basel
42,728029.0,2016-08-25,news,basel/728029,2747.0,2456.0,00:03:53,1256.0,"86,78 %","61,70 %","0,00 CHF",basel
43,727173.0,2016-08-15,news,sport/727173,2714.0,2535.0,00:04:26,2118.0,"89,71 %","82,68 %","0,00 CHF",sport
44,697463.0,2015-12-25,news,schweiz/697463,2677.0,2472.0,00:05:43,2451.0,"91,02 %","89,76 %","0,00 CHF",schweiz
