,week,year,weekly_pageviews
0,1,2017,3516
1,2,2017,1651
2,3,2017,2520
3,4,2017,2166
4,5,2017,2342
5,6,2017,2287
6,7,2017,3000
7,8,2017,2736
8,9,2017,1786
9,10,2017,2317
10,11,2017,2238
11,12,2017,2828
12,13,2017,3249
13,14,2017,1974
14,15,2017,1690
15,16,2017,1650
16,17,2017,2543
17,18,2017,450
18,22,2016,1698
19,23,2016,2717
20,24,2016,5547
21,25,2016,4153
22,26,2016,2274
23,27,2016,2888
24,28,2016,2202
25,29,2016,3878
26,30,2016,2614
27,31,2016,1391
28,32,2016,1751
29,33,2016,2908
30,34,2016,1742
31,35,2016,1964
32,36,2016,1529
33,37,2016,1793
34,38,2016,1915
35,39,2016,2512
36,40,2016,1831
37,41,2016,3076
38,42,2016,2039
39,43,2016,2576
40,44,2016,2428
41,45,2016,1573
42,46,2016,3744
43,47,2016,2036
44,48,2016,2200
45,49,2016,1115
46,50,2016,1729
47,51,2016,1246
48,52,2016,2475
