,published,article_id,pageviews,title,topic_id,week,month,year
0,2016-06-10,721644.0,2466,Das erste Eigentor der EM ist bereits gefallen! Geschossen hats der Hauseigentümer-Verband,604,23,6,2016
1,2016-06-21,722594.0,2726,Kaserne: Bürgerliche wollen «Meh Dräck!»,604,25,6,2016
2,2016-06-29,723396.0,987,Finger weg vom Landhof!,604,26,6,2016
3,2016-07-22,723638.0,1342,Das geheimnisvolle Raketensilo vor dem Unispital,604,29,7,2016
4,2016-07-05,723854.0,2323,Wie das EM-Tippspiel mein Leben ruiniert,604,27,7,2016
5,2016-07-20,725129.0,8005,Schweizer Rassistin verirrt sich nach Weil am Rhein,604,29,7,2016
6,2016-07-27,725477.0,1851,Die drei Fragezeichen und der Bindestrich,604,30,7,2016
7,2016-08-12,726960.0,4044,"Wie ich Baschi Dürr erfolglos davor warnte, gegen das Gesetz zu verstossen",604,32,8,2016
8,2016-08-16,727194.0,304,Riehener SVP misstraut dem Schulwegsicherheitsplan des Kantons,604,33,8,2016
9,2016-08-20,727393.0,303,Fitness-Tracker für Fifi: Ein dicker Hund,604,33,8,2016
10,2016-08-25,728124.0,896,Seltsames Glockengeläut zur Geisterstunde,604,34,8,2016
11,2016-09-06,729033.0,1625,Im Basler Wahlkampf sind Fakten reine Ansichtssache,604,36,9,2016
12,2016-09-20,730037.0,471,Jetzt werden schon die Jungparteien kreativ,604,38,9,2016
13,2016-10-19,732575.0,3279,"Wo steckt Baschi-Man, wenn man ihn braucht?",604,42,10,2016
14,2016-10-28,733474.0,3106,Pünktlich zum Jubiläum: Blocher zollt TagesWoche Respekt,604,43,10,2016
15,2016-11-03,733873.0,892,Baselbieter Regierung: «Erotik per se ist nichts Negatives»,604,44,11,2016
16,2016-12-22,738162.0,2264,"Baselland will Bewilligungspflicht für Sportanlässe, die es dort gar nicht gibt",604,51,12,2016
17,2017-01-30,740733.0,2286,Rechnen mit Ueli,604,5,1,2017
18,2017-01-26,740763.0,7422,Was stimmt mit dieser Strasse nicht?,604,4,1,2017
19,2017-02-26,743410.0,4620,Jetzt gibt's Feuerwerk für die Fasnacht,604,8,2,2017
20,2017-03-19,745232.0,634,Leichen sind nicht giftig – aber essen sollte man sie nicht,604,11,3,2017
21,2017-03-26,745675.0,2368,Basler Polizei forscht an Gummischrot-Frühwarnsystem,604,12,3,2017
22,2017-04-06,746889.0,1482,Bierernstes und Weinseliges zum Begriff «ehrenwert»,604,14,4,2017
23,2017-04-19,747809.0,1361,Für immer rot-blau – Spezialgrabstätte für FCB-Fans,604,16,4,2017
