,published,article_id,pageviews,title,topic_id,week,month,year
0,2017-04-26,416478.0,326,Brutal abstrakt – Vor 80 Jahren malte Picasso den Krieg,605,17,4,2017
1,2016-06-18,722068.0,986,Citroën DS: eine Göttin auf vier Rädern,605,24,6,2016
2,2016-06-25,722687.0,614,Hat dieses Mädchen auch Ihr Leben verändert? – Amélie Poulain als Kultfigur der Nullerjahre,605,25,6,2016
3,2016-06-29,723397.0,813,Ein Kater auf der Suche nach dem sexuellen Abenteuer,605,26,6,2016
4,2016-07-06,723837.0,718,Suzanne Vegas grosser Durchbruch,605,27,7,2016
5,2016-07-21,725014.0,1534,«Der Fänger im Roggen» – Anleitung zum Weltekel,605,29,7,2016
6,2016-07-28,725489.0,1541,Läufst du noch oder sneakst du schon? Der Siegeszug des Turnschuhs,605,30,7,2016
7,2016-08-02,725974.0,478,"Sex, Feminismus und Weltverdruss – das Debütalbum von Garbage",605,31,8,2016
8,2016-08-09,726252.0,370,«Ghostbusters»: Ein ektoplasmafeuchter Bubentraum,605,32,8,2016
9,2016-08-15,726858.0,371,Die ungeheuerliche Verwandlung des Jeff Goldblum,605,33,8,2016
10,2016-08-25,727922.0,252,Ausbruch unterdrückter Wut – «Ten» von Pearl Jam,605,34,8,2016
11,2016-09-08,729253.0,309,Tupac Shakur: Der tödlichste Beef der Rapgeschichte,605,36,9,2016
12,2016-09-13,729717.0,326,Roald Dahl: Der morbide Märchenonkel,605,37,9,2016
13,2016-09-21,730296.0,2554,Das Geheimnis von «Game of Thrones» steckt tief in Ihnen,605,38,9,2016
14,2016-10-06,730413.0,396,Schöne neue Insta-Welt,605,40,10,2016
15,2016-10-02,730422.0,116,"We love PEZ, die knallbunten Zuckerlspucker",605,39,10,2016
16,2016-11-02,732534.0,568,Ein nie verwelkendes Epos der Melancholie: «Disintegration» von The Cure ,605,44,11,2016
17,2016-10-28,732808.0,1472,Als Black Tiger den Mundart-Rap erfand,605,43,10,2016
18,2016-11-03,733690.0,423,"Via Intrigen ins Weisse Haus: «House of Cards» klingt fast zu real, um Fiktion zu sein",605,44,11,2016
19,2016-11-08,734075.0,480,"Robert Mapplethorpe, der Fotograf zwischen Kunst und Kontroverse",605,45,11,2016
20,2016-11-17,734907.0,358,Hallelujah! Jeff Buckleys Album «Grace» ist ein ewig währendes Füllhorn der Romantik ,605,46,11,2016
21,2016-11-27,735417.0,606,«Do they know it’s Christmas?» – gut gemeint und gescheitert,605,47,11,2016
22,2016-11-23,735558.0,868,7 Mal Klaus Kinski ausser Rand und Band,605,47,11,2016
23,2016-12-03,736169.0,234,Mutige fallen auch mal auf die Nase,605,48,12,2016
24,2016-12-08,736742.0,251,Das Stadtkino wird vom wilden Affen gebissen,605,49,12,2016
25,2016-12-17,737430.0,620,«The Commitments»: Soul für eine verlorene Generation,605,50,12,2016
26,2016-12-22,738081.0,1179,Wieso «Sex and the City» feministisch versagt hat – und wir es geschehen liessen,605,51,12,2016
27,2017-01-12,739517.0,403,"Gamen, bis die Augen bluten: Die Nintendo 64 hats uns angetan",605,2,1,2017
28,2017-01-21,739630.0,8078,"Ein Bild, das die Welt um ihren Schlaf brachte",605,3,1,2017
29,2017-01-26,740856.0,501,"Al Capone, ein amerikanischer Gangster",605,4,1,2017
30,2017-02-13,741968.0,420,«Tanz der Vampire» – Liebe auf den ersten Biss,605,7,2,2017
31,2017-02-15,742666.0,743,«Trainspotting» – Spritztour durch die Jugend,605,7,2,2017
32,2017-03-07,743931.0,541,Divine: Das Monster in Frauengestalt,605,10,3,2017
33,2017-03-31,745816.0,670,Body Count: Frontalangriff auf die Gesellschaft,605,13,3,2017
34,2017-04-20,747782.0,282,Diesen Stummen versteht jeder,605,16,4,2017
