,published,article_id,pageviews,title,topic_id,week,month,year
0,2016-09-06,725713.0,4796,Die Edelpuffer,1041,36,9,2016
1,2016-09-12,729308.0,3373,Schmuck aus Muttermilch ist Pflicht für jedes anständige Mami,1041,37,9,2016
2,2016-09-19,729605.0,483,Hässlich + unpraktisch = Crocs mit Fell,1041,38,9,2016
3,2016-10-29,729647.0,553,Die erste Herbstmesse-App im Test,1041,43,10,2016
4,2016-09-26,730529.0,336,Wie geschaffen für Befürworter des neuen Nachrichtendienst-Gesetzes,1041,39,9,2016
5,2016-10-01,730827.0,368,Mit Schwarmintelligenz zum smarten Regio-Routenplaner,1041,39,10,2016
6,2016-09-28,730903.0,791,Allschwil steigt ins Dirndl – da sind wir aber froh!,1041,39,9,2016
7,2016-10-10,731885.0,1175,Nix geht übers Vakuumieren!,1041,41,10,2016
8,2016-10-26,732066.0,2267,"Die Rüeblihose schlägt zurück – und es tut sehr, sehr weh",1041,43,10,2016
9,2016-10-17,732430.0,1410,Eine Vereinhornung des guten Geschmacks,1041,42,10,2016
10,2016-10-25,732726.0,657,"Lieber Besen, bitte wisch die Laubbläser weg!",1041,43,10,2016
11,2016-11-07,733660.0,241,"Die Zaubertasse gegen den «Aua, heiss!»-Schrei",1041,45,11,2016
12,2016-11-15,733776.0,1060,"Wer die Resten nicht ehrt, ist der Leckereien nicht wert",1041,46,11,2016
13,2016-11-28,735248.0,1706,Sie wissen nicht weiter im Leben? Legen Sie sich ein paar Weisheiten zu,1041,48,11,2016
14,2016-11-21,735428.0,848,"Für ein Kleben nach dem Tod: Die Heissleimpistole verbindet, was (nicht) zusammengehört",1041,47,11,2016
15,2016-12-12,735632.0,746,"Für eklige Tätigkeiten, die niemand sehen darf: die Privacy Shell",1041,50,12,2016
16,2016-12-05,736344.0,3602,"Nintendo-Nostalgiker, freuet euch!",1041,49,12,2016
17,2016-12-19,737569.0,745,Mit so einem Anzug sind Sie der Boss an jedem Weihnachtsfest,1041,51,12,2016
18,2016-12-26,738445.0,902,Ein unzerstörbarer Evergreen: Die Vinyl-Schallplatte,1041,52,12,2016
19,2017-01-23,740407.0,3303,Nie mehr kalte Hände – dank der Schneeballzange,1041,4,1,2017
20,2017-02-22,742818.0,1358,Schluss mit dem kurzen Schwarzen!,1041,8,2,2017
21,2017-03-17,743802.0,2516,"Frauen, steht zu eurem Blut!",1041,11,3,2017
22,2017-03-06,743934.0,2581,"Kaffi Lutz, der zu Unrecht verpönte Drink",1041,10,3,2017
23,2017-03-30,746325.0,314,Mavic Pro – Fliegen ist schöner!,1041,13,3,2017
24,2017-04-01,746399.0,2211,Die Frauenwelt jubelt: Endlich gibts einen Regenschutz für Stöckelschuhe,1041,13,4,2017
25,2017-04-24,747920.0,777,Hot Dogs – Biss in die Freiheit,1041,17,4,2017
