,published,article_id,pageviews,title,topic_id,week,month,year
0,2016-06-11,721730.0,993,Eine Wanderung zu den Bagni di Craveggia,600,23,6,2016
1,2016-06-18,722369.0,146,Die royalen Parfums im Duftschloss von Versailles,600,24,6,2016
2,2016-07-02,722389.0,733,Auf der Jagd nach einer guten Mahlzeit in Porto,600,26,7,2016
3,2016-06-25,722786.0,481,Seeluft schnuppern in der Rosenstadt,600,25,6,2016
4,2016-07-09,724218.0,1030,An der jurassischen Riviera,600,27,7,2016
5,2016-07-23,724733.0,1080,Trip in die Baselbieter Heimat,600,29,7,2016
6,2016-07-30,725233.0,224,Am Fusse des Mont Vully,600,30,7,2016
7,2016-08-20,725476.0,387,La Grassa – wo man abendfüllend über Rezepte diskutiert,600,33,8,2016
8,2016-08-13,725989.0,279,"Touristisch, touristischer, Ascona",600,32,8,2016
9,2016-08-06,726315.0,656,Leben wie Gott in Frankreich ist nicht immer gesund,600,31,8,2016
10,2016-09-11,728025.0,721,Ein Hoch auf die Langsamkeit: Mit dem Zug von Berlin nach Malmö,600,36,9,2016
11,2016-08-27,728120.0,241,Wochenendlich in Auch,600,34,8,2016
12,2016-09-03,728134.0,359,Endlose Promenaden und ein Küstentram,600,35,9,2016
13,2016-09-16,729716.0,82,Diese Fabrik ist schick: Ein Besuch in den Salinen von Arc-et-Senans,600,37,9,2016
14,2016-09-24,730302.0,400,In diesem Walserdorf könnte man alt werden,600,38,9,2016
15,2016-10-21,731077.0,287,"Poller, Fabeltiere und Maschinen-Monster bringen Nantes zum Blühen",600,42,10,2016
16,2016-10-01,731091.0,274,Marronifest auf dem Maiensäss: Da kommen sogar die Einheimischen,600,39,10,2016
17,2016-10-07,731420.0,3652,Wellnessen Sie doch mal wieder! Tipps für fast jeden,600,40,10,2016
18,2016-10-08,731670.0,4978,Letzte Chance auf Sommer: Ab nach Alassio,600,40,10,2016
19,2016-10-14,732154.0,763,Rund um die drei Gipfel des Wildstrubel,600,41,10,2016
20,2016-10-29,733264.0,173,Wollpulli einpacken und ab in die malerischen Gassen von Arles,600,43,10,2016
21,2016-11-05,733397.0,212,Jenseits der Schinkenstrasse,600,44,11,2016
22,2016-11-12,734599.0,706,Im Obermünstertal mundet sogar der November,600,45,11,2016
23,2016-11-19,735176.0,554,Im winterlichen Pontresina gehen der Puls runter und die Laune rauf,600,46,11,2016
24,2016-11-26,735621.0,570,Seien Sie vor dem Trend in Aarhus,600,47,11,2016
25,2016-12-03,736495.0,131,Weinkultur am Genfersee,600,48,12,2016
26,2016-12-11,737161.0,349,"Märchenwald, Säuli-Augen und Bio-Unterricht in der Agglo",600,49,12,2016
27,2016-12-17,737636.0,1243,In Málaga den Winterstiefeln davonlaufen,600,50,12,2016
28,2016-12-31,738237.0,387,Verbringen Sie ein Wochenende in 1001 Nacht ,600,52,12,2016
29,2016-12-24,738299.0,230,Unter Tag im österreichischen Montafon,600,51,12,2016
30,2017-01-08,739239.0,201,"Die Murg, Goethe und die heilige Idda",600,1,1,2017
31,2017-01-15,739744.0,491,Gehen Sie doch mal in den nahen Osten,600,2,1,2017
32,2017-01-21,740413.0,551,"Abenteuer-Trip in ein Ambiente aus «Indiana Jones», «Star Wars« und «Game of Thrones»",600,3,1,2017
33,2017-02-02,740680.0,577,Im virtuellen Hotel Vue des Alpes ist Perfektion und Langeweile garantiert,600,5,2,2017
34,2017-01-29,741049.0,672,Pssst – Geheimtipps für Krakau abseits der Touristenrouten,600,4,1,2017
35,2017-02-11,741869.0,446,Dubai – eine Stadt mit Mut zu Widersprüchen,600,6,2,2017
36,2017-02-25,742509.0,1440,Skiferien in Mürren: Wunderbar langweilig,600,8,2,2017
37,2017-03-04,743139.0,549,Die kulinarische Hauptstadt von Marokko,600,9,3,2017
38,2017-03-11,744336.0,455,Tabernas: Im Wilden Westen Europas,600,10,3,2017
39,2017-03-18,745026.0,250,Wo Pfauen und Wanderer schlafen,600,11,3,2017
40,2017-03-25,745478.0,686,Leipzig: Besser als Berlin,600,12,3,2017
41,2017-04-03,746142.0,595,Runterfahren mit dem Fährverkehr von Sizilien,600,14,4,2017
42,2017-04-09,746683.0,273,La vie en rose in Südfrankreich,600,14,4,2017
43,2017-04-12,747297.0,269,Wo die sanften Kerle wohnen,600,15,4,2017
44,2017-04-12,747402.0,635,Nicht jeder Oster-Weg muss über die Alpen führen,600,15,4,2017
45,2017-04-22,747679.0,621,Perugia – ein Königreich für den Flaneur,600,16,4,2017
46,2017-04-27,748259.0,171,Bildhauereien im Baselbiet,600,17,4,2017
