,month,year,monthly_pageviews
0,1,2013,98
1,1,2015,91
2,1,2017,1915
3,2,2014,173
4,2,2015,266
5,2,2016,103
6,2,2017,2463
7,3,2012,2284
8,3,2017,1940
9,4,2012,90
10,4,2014,428
11,4,2015,271
12,4,2016,583
13,4,2017,2564
14,5,2012,107
15,5,2014,494
16,5,2015,3110
17,5,2016,368
18,6,2012,95
19,6,2014,100
20,6,2015,363
21,6,2016,1620
22,7,2016,3067
23,8,2014,98
24,8,2015,2249
25,8,2016,1563
26,9,2014,121
27,9,2015,509
28,9,2016,1562
29,10,2014,730
30,10,2015,583
31,10,2016,10127
32,11,2014,517
33,11,2015,450
34,11,2016,2042
35,12,2012,125
36,12,2016,2340
