,week,year,weekly_pageviews
0,1,2017,201
1,2,2017,491
2,3,2017,551
3,4,2013,98
4,4,2017,672
5,5,2015,91
6,5,2017,577
7,6,2016,103
8,6,2017,446
9,7,2015,266
10,8,2017,1440
11,9,2014,173
12,9,2017,549
13,10,2017,455
14,11,2012,366
15,11,2017,250
16,12,2017,686
17,13,2012,1918
18,13,2016,324
19,14,2017,868
20,15,2014,325
21,15,2015,271
22,15,2017,904
23,16,2012,90
24,16,2017,621
25,17,2016,259
26,17,2017,171
27,18,2014,103
28,18,2015,124
29,18,2016,211
30,20,2014,332
31,21,2012,107
32,21,2014,80
33,21,2015,2986
34,21,2016,157
35,22,2014,82
36,23,2016,993
37,24,2015,86
38,24,2016,146
39,25,2014,100
40,25,2015,191
41,25,2016,481
42,26,2012,95
43,26,2015,86
44,26,2016,733
45,27,2016,1030
46,29,2016,1080
47,30,2016,224
48,31,2016,656
49,32,2015,1036
50,32,2016,279
51,33,2014,98
52,33,2015,121
53,33,2016,387
54,34,2015,1092
55,34,2016,241
56,35,2016,359
57,36,2016,721
58,37,2016,82
59,38,2015,509
60,38,2016,400
61,39,2014,121
62,39,2016,274
63,40,2016,8630
64,41,2014,636
65,41,2016,763
66,42,2016,287
67,43,2015,583
68,43,2016,173
69,44,2014,94
70,44,2016,212
71,45,2015,262
72,45,2016,706
73,46,2015,93
74,46,2016,554
75,47,2014,111
76,47,2016,570
77,48,2014,406
78,48,2015,95
79,48,2016,131
80,49,2016,349
81,50,2012,125
82,50,2016,1243
83,51,2016,230
84,52,2016,387
