Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert
/omniticker/,71993,21661,00:01:45,6783,"40,30 %","13,08 %","0,00 CHF"
/de/2015_06/leben/679721,47570,44358,00:04:55,44262,"92,16 %","91,17 %","0,00 CHF"
/classifieds,41832,29634,00:01:23,15157,"56,71 %","36,73 %","0,00 CHF"
/de/2016_8/basel/711878,38175,32952,00:05:24,28632,"82,21 %","75,36 %","0,00 CHF"
/de/2016_2/schweiz/707881,37126,34222,00:04:39,30885,"88,38 %","83,15 %","0,00 CHF"
/de/2013_51/kultur/,33294,283,00:10:40,283,"2,47 %","0,85 %","0,00 CHF"
/de/2016_29/international/724751,30947,28654,00:05:19,26522,"89,45 %","84,54 %","0,00 CHF"
/de/2015_29/international/693833,28841,21951,00:02:16,21914,"77,39 %","75,82 %","0,00 CHF"
/de/2016_14/international/715515,27387,25316,00:06:00,23989,"91,55 %","88,76 %","0,00 CHF"
/de/2014_28/basel/664044,25367,22681,00:04:59,20528,"86,19 %","81,51 %","0,00 CHF"
/de/2016_14/basel/715519,25203,23606,00:03:14,22408,"85,80 %","82,98 %","0,00 CHF"
/de/blogs/,25044,18352,00:00:35,2079,"26,74 %","31,30 %","0,00 CHF"
/wetter,24632,22706,00:02:50,3386,"57,38 %","60,64 %","0,00 CHF"
/de/2014_29/dialog/,24005,3133,00:05:23,2965,"17,50 %","10,54 %","0,00 CHF"
/de/2016_15/sport/716378,23104,19697,00:05:17,13782,"84,39 %","71,52 %","0,00 CHF"
/de/2015_02/basel/677635,22387,18495,00:04:27,17610,"78,88 %","75,79 %","0,00 CHF"
/de/2016_14/basel/715628,21122,19684,00:03:36,18249,"87,86 %","84,30 %","0,00 CHF"
/de/2016_41/basel/731565,20968,19512,00:04:59,16717,"89,59 %","81,87 %","0,00 CHF"
/de/2016_30/basel/725295,19312,17933,00:04:02,15631,"88,87 %","81,44 %","0,00 CHF"
/de/2016_35/schweiz/727931,18345,17352,00:05:03,16513,"92,49 %","89,74 %","0,00 CHF"
/de/2016_46/international/734412,17861,16569,00:06:35,14721,"91,47 %","85,95 %","0,00 CHF"
/de/2016_43/basel/732759,16369,11529,00:05:34,4341,"77,15 %","51,28 %","0,00 CHF"
/de/2015_12/basel/683236,16152,14608,00:05:57,14583,"91,70 %","89,76 %","0,00 CHF"
/de/2016_14/basel/715676,16131,15310,00:02:58,13926,"89,42 %","85,04 %","0,00 CHF"
/de/2016_40/kultur/730825,15648,13307,00:04:21,11890,"78,25 %","71,52 %","0,00 CHF"
/de/2016_44/basel/733104,15563,14683,00:04:44,13811,"92,08 %","88,43 %","0,00 CHF"
/de/2011_43/basel/,15210,8583,00:01:30,8345,"23,04 %","22,10 %","0,00 CHF"
/de/2016_14/sport/715581,14934,14043,00:04:20,11527,"88,46 %","81,76 %","0,00 CHF"
/de/2016_45/basel/733992,14429,13518,00:03:12,11124,"86,67 %","77,12 %","0,00 CHF"
/de/2016_2/international/708450,14358,13585,00:03:58,13208,"94,08 %","91,67 %","0,00 CHF"
/de/2016_6/schweiz/710539,14289,13089,00:04:19,11132,"90,17 %","80,44 %","0,00 CHF"
/de/2016_29/basel/724533,14179,13351,00:05:54,11250,"90,53 %","82,35 %","0,00 CHF"
/de/2016_38/kultur/730211,14175,13031,00:05:35,10469,"90,70 %","83,53 %","0,00 CHF"
/de/2016_10/basel/713254,14103,12193,00:05:30,8291,"85,96 %","70,88 %","0,00 CHF"
/de/2013_12/basel/523138,14077,13239,00:04:36,13188,"92,28 %","91,57 %","0,00 CHF"
/de/2016_16/basel/716467,13347,11863,00:07:04,8201,"86,40 %","74,27 %","0,00 CHF"
/de/2016_14/leben/715630,12908,12287,00:04:21,11862,"91,81 %","90,64 %","0,00 CHF"
/de/2013_08/basel/516715,12638,10163,00:03:05,8885,"72,74 %","68,71 %","0,00 CHF"
/de/2016_30/basel/725275,12608,11754,00:05:01,10917,"90,97 %","86,33 %","0,00 CHF"
/de/2016_23/basel/720856,12394,11504,00:05:26,8721,"88,28 %","78,15 %","0,00 CHF"
/de/2016_8/basel/711739,12003,10003,00:06:02,6554,"78,23 %","64,92 %","0,00 CHF"
/de/2016_35/leben/728002,11979,11260,00:04:30,10716,"91,38 %","88,16 %","0,00 CHF"
/de/2016_31/basel/725703,11818,11037,00:06:57,8964,"90,22 %","81,65 %","0,00 CHF"
/de/blogs/mittendrin/699406,11797,10457,00:00:54,448,"33,48 %","22,07 %","0,00 CHF"
/de/2014_31/basel/665174,11711,9578,00:03:17,7906,"78,07 %","70,21 %","0,00 CHF"
/de/2016_14/basel/,11577,8554,00:01:07,688,"36,05 %","25,04 %","0,00 CHF"
/de/2016_7/basel/,11560,8461,00:01:09,2685,"32,25 %","27,72 %","0,00 CHF"
/cityguide/,11557,9689,00:04:01,6469,"83,72 %","69,87 %","0,00 CHF"
/de/2016_46/basel/734681,11251,10538,00:04:13,8691,"89,62 %","79,50 %","0,00 CHF"
/de/2016_12/basel/714189,11244,10636,00:03:29,8918,"91,35 %","81,69 %","0,00 CHF"
/de/2016_45/schweiz/734071,11231,10446,00:04:24,9600,"91,20 %","85,43 %","0,00 CHF"
/de/2016_33/kultur/726946,11183,10569,00:05:38,9797,"93,29 %","89,03 %","0,00 CHF"
/de/2016_7/sport/,11162,7950,00:01:06,2985,"31,96 %","32,23 %","0,00 CHF"
/de/2016_38/sport/730223,11085,10456,00:03:26,8854,"91,68 %","83,33 %","0,00 CHF"
/de/2016_20/leben/718927,11060,10419,00:04:12,9864,"93,06 %","89,15 %","0,00 CHF"
/de/2016_23/basel/720594,10989,9851,00:05:43,8362,"88,02 %","79,71 %","0,00 CHF"
/de/2016_41/leben/731660,10905,10270,00:04:39,9820,"91,81 %","88,82 %","0,00 CHF"
/de/2016_29/international/724826,10881,10193,00:03:57,9048,"90,55 %","83,64 %","0,00 CHF"
/de/2016_41/kultur/731480,10808,10074,00:03:58,9226,"90,52 %","85,76 %","0,00 CHF"
/de/2012_03/basel/330199,10791,10202,00:01:57,10166,"92,95 %","92,53 %","0,00 CHF"
/de/2016_34/basel/727581,10760,10033,00:04:38,7368,"90,12 %","75,66 %","0,00 CHF"
/de/2016_36/schweiz/728552,10537,9800,00:05:32,8203,"91,88 %","82,77 %","0,00 CHF"
/de/2012_32/sport/449400,10367,7904,00:04:15,5423,"70,63 %","65,03 %","0,00 CHF"
/de/2016_14/sport/715772,10155,9630,00:03:42,7750,"90,36 %","81,32 %","0,00 CHF"
/de/2012_01/international/249240,10074,9461,00:04:55,9068,"90,79 %","89,34 %","0,00 CHF"
/de/2016_3/basel/,10059,7275,00:01:02,1891,"40,72 %","25,98 %","0,00 CHF"
/de/2016_6/basel/,10019,7082,00:01:12,714,"34,17 %","24,41 %","0,00 CHF"
/de/2016_21/sport/719939,9988,9547,00:03:09,8593,"93,87 %","87,86 %","0,00 CHF"
/de/2016_32/leben/726058,9909,9381,00:04:47,8910,"93,32 %","90,31 %","0,00 CHF"
/de/2016_2/sport/,9831,7487,00:01:24,1271,"40,76 %","39,21 %","0,00 CHF"
/de/2016_21/basel/719526,9785,7981,00:04:23,3207,"82,51 %","58,51 %","0,00 CHF"
/de/2016_9/basel/,9782,6940,00:01:09,896,"29,02 %","23,70 %","0,00 CHF"
/de/2016_10/basel/,9774,6796,00:01:06,644,"32,92 %","21,68 %","0,00 CHF"
/de/2016_43/basel/,9764,6754,00:01:04,798,"23,53 %","21,39 %","0,00 CHF"
/de/2016_18/basel/,9693,6879,00:01:04,1326,"29,71 %","22,75 %","0,00 CHF"
/de/2016_20/basel/,9689,6671,00:01:09,954,"30,19 %","22,86 %","0,00 CHF"
/de/2016_8/basel/,9674,6664,00:00:59,607,"29,49 %","19,70 %","0,00 CHF"
/de/2016_11/basel/,9657,6869,00:01:07,1025,"29,46 %","24,32 %","0,00 CHF"
/de/2016_42/basel/732344,9640,8791,00:03:43,7902,"88,08 %","81,57 %","0,00 CHF"
/de/blogs/bildstoff/723392,9553,8510,00:05:09,6342,"87,62 %","73,56 %","0,00 CHF"
/de/2016_35/basel/,9498,6655,00:01:02,1608,"24,50 %","23,07 %","0,00 CHF"
/de/2016_27/kultur/723646,9446,8932,00:03:09,7126,"91,00 %","79,14 %","0,00 CHF"
/de/2016_42/basel/732100,9446,8896,00:03:28,6846,"86,75 %","74,23 %","0,00 CHF"
/de/2016_21/basel/719794,9418,8793,00:03:37,8019,"89,25 %","83,39 %","0,00 CHF"
/de/2016_44/basel/,9285,6247,00:00:58,592,"26,35 %","20,22 %","0,00 CHF"
