Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert
/de/2016_35/schweiz/727931,17827,16858,00:05:05,16047,"92,45 %","89,70 %","0,00 CHF"
/de/2016_35/leben/728002,11441,10749,00:04:30,10247,"91,38 %","88,15 %","0,00 CHF"
/de/2016_33/kultur/726946,10854,10257,00:05:39,9490,"93,32 %","88,94 %","0,00 CHF"
/de/2016_32/leben/726058,9813,9293,00:04:49,8825,"93,37 %","90,35 %","0,00 CHF"
/de/2016_34/basel/727581,9426,8780,00:04:39,6649,"90,92 %","77,55 %","0,00 CHF"
/de/2014_28/basel/664044,8873,7971,00:04:17,6529,"87,18 %","78,41 %","0,00 CHF"
/de/2016_35/basel/728097,8565,7987,00:04:49,6720,"89,26 %","80,58 %","0,00 CHF"
/cityguide/,8169,6695,00:03:49,4781,"82,68 %","68,28 %","0,00 CHF"
/omniticker/,7955,1950,00:01:51,585,"40,17 %","11,19 %","0,00 CHF"
/de/2016_35/basel/,7531,5322,00:01:02,419,"36,28 %","22,87 %","0,00 CHF"
/de/2016_34/basel/,7443,5255,00:01:06,445,"34,83 %","22,76 %","0,00 CHF"
/de/2016_33/basel/,7216,5108,00:01:00,401,"35,41 %","22,55 %","0,00 CHF"
/de/2016_32/schweiz/726109,6952,6563,00:03:53,5135,"89,13 %","76,37 %","0,00 CHF"
/de/2016_32/basel/726072,6928,6491,00:05:17,5614,"92,06 %","84,66 %","0,00 CHF"
/de/2016_33/sport/,6750,4799,00:01:03,434,"35,94 %","26,84 %","0,00 CHF"
/de/2016_32/basel/,6601,4628,00:00:56,529,"34,03 %","21,56 %","0,00 CHF"
/de/2016_33/basel/726536,6424,6038,00:03:22,4202,"86,58 %","69,97 %","0,00 CHF"
/de/2016_32/sport/,6417,4637,00:01:13,685,"36,06 %","29,00 %","0,00 CHF"
/de/2016_34/basel/727261,6199,5760,00:06:11,4344,"88,12 %","76,00 %","0,00 CHF"
/de/2016_34/sport/727529,5691,5434,00:04:28,4111,"91,73 %","80,74 %","0,00 CHF"
/de/2016_32/basel/726149,5583,5112,00:03:36,3808,"88,84 %","77,59 %","0,00 CHF"
/de/2016_34/sport/,5578,4234,00:01:18,399,"41,35 %","32,54 %","0,00 CHF"
/de/blogs/bildstoff/727047,5451,5067,00:03:15,3676,"90,23 %","74,68 %","0,00 CHF"
/de/2016_35/sport/,5312,3977,00:01:08,291,"35,74 %","29,48 %","0,00 CHF"
/de/2016_29/basel/724700,5034,4668,00:04:15,3050,"89,74 %","70,76 %","0,00 CHF"
/de/2016_32/basel/726101,4882,4404,00:03:52,2336,"78,64 %","59,40 %","0,00 CHF"
/de/2016_31/basel/725940,4705,4319,00:03:27,3755,"87,03 %","80,06 %","0,00 CHF"
/de/2016_33/basel/726828,4178,3862,00:02:50,3269,"90,33 %","81,38 %","0,00 CHF"
/de/2016_33/basel/726960,3900,3606,00:03:32,1867,"86,50 %","58,85 %","0,00 CHF"
/de/2016_33/schweiz/726542,3836,3304,00:04:04,1379,"79,84 %","54,22 %","0,00 CHF"
/de/2016_36/basel/728523,3771,3534,00:04:13,2520,"91,03 %","73,64 %","0,00 CHF"
/de/2016_32/basel/726139,3763,3365,00:05:07,1508,"85,34 %","59,87 %","0,00 CHF"
/de/2016_36/basel/,3758,2733,00:01:15,177,"33,90 %","23,66 %","0,00 CHF"
/de/2016_31/basel/725649,3747,3293,00:05:15,2008,"84,81 %","64,29 %","0,00 CHF"
/de/2016_34/basel/727283,3617,3379,00:04:17,2880,"91,08 %","82,64 %","0,00 CHF"
/de/2016_36/basel/728416,3585,3340,00:04:50,2006,"84,65 %","66,97 %","0,00 CHF"
/classifieds,3582,2553,00:01:25,1340,"57,91 %","38,81 %","0,00 CHF"
/de/2016_32/sport/726067,3548,3363,00:05:28,1755,"90,77 %","74,89 %","0,00 CHF"
/de/2016_36/basel/728437,3446,3207,00:03:39,2125,"83,76 %","67,06 %","0,00 CHF"
/de/2016_31/sport/725931,3410,3169,00:02:02,1800,"83,61 %","60,91 %","0,00 CHF"
/de/2016_33/basel/726926,3334,3078,00:04:35,1774,"86,92 %","64,76 %","0,00 CHF"
/de/2016_34/basel/727307,3319,3055,00:03:43,1658,"81,79 %","59,39 %","0,00 CHF"
/de/2016_32/basel/726377,3317,3113,00:04:00,1614,"85,13 %","62,50 %","0,00 CHF"
