Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert
/de/2016_29/international/724751,30472,28207,00:05:20,26107,"89,41 %","84,49 %","0,00 CHF"
/de/2016_30/basel/725295,18516,17199,00:04:07,14976,"89,02 %","81,48 %","0,00 CHF"
/de/2016_29/basel/724533,13785,12983,00:05:56,10961,"90,72 %","82,55 %","0,00 CHF"
/de/2016_30/basel/725275,11986,11184,00:05:10,10453,"91,11 %","86,72 %","0,00 CHF"
/de/2016_29/international/724826,10741,10061,00:03:59,8923,"90,54 %","83,59 %","0,00 CHF"
/de/2016_31/basel/725703,10112,9471,00:06:51,7948,"91,04 %","83,30 %","0,00 CHF"
/de/2016_27/kultur/723646,8810,8335,00:03:04,6546,"91,19 %","78,54 %","0,00 CHF"
/de/2016_27/basel/723564,7870,7498,00:02:37,6278,"89,73 %","80,38 %","0,00 CHF"
/de/2016_30/basel/725129,7662,7183,00:02:55,6144,"90,77 %","81,04 %","0,00 CHF"
/de/2016_29/schweiz/724790,7365,6844,00:02:20,5564,"86,92 %","75,93 %","0,00 CHF"
/de/2016_28/sport/,7263,5348,00:01:13,772,"35,75 %","32,91 %","0,00 CHF"
/de/2016_28/basel/,7136,4836,00:01:05,517,"25,15 %","20,05 %","0,00 CHF"
/de/2016_29/sport/,7072,5323,00:01:20,628,"42,20 %","32,24 %","0,00 CHF"
/de/2016_30/basel/,7020,4920,00:01:04,390,"28,97 %","22,08 %","0,00 CHF"
/de/2016_29/basel/,6870,4811,00:01:00,390,"29,74 %","21,08 %","0,00 CHF"
/de/2016_30/sport/,6595,4920,00:01:04,539,"38,40 %","30,31 %","0,00 CHF"
/de/2016_28/basel/724127,6546,6114,00:03:24,4130,"87,07 %","67,81 %","0,00 CHF"
/de/2016_31/basel/,6508,4659,00:01:02,348,"31,32 %","22,25 %","0,00 CHF"
/omniticker/,6388,1821,00:01:44,570,"40,18 %","12,48 %","0,00 CHF"
/de/2016_29/sport/724625,6309,5937,00:05:05,4305,"91,01 %","78,65 %","0,00 CHF"
/de/2016_31/sport/,6105,4530,00:01:17,353,"39,94 %","31,78 %","0,00 CHF"
/de/2016_28/basel/724047,5788,5244,00:05:21,3704,"88,44 %","73,91 %","0,00 CHF"
/de/2016_29/international/724825,5682,5261,00:04:02,4567,"89,18 %","82,56 %","0,00 CHF"
/de/2016_30/basel/725305,5369,4999,00:03:16,4098,"86,46 %","75,62 %","0,00 CHF"
/de/2016_27/international/723504,4776,4542,00:02:43,3647,"91,31 %","79,08 %","0,00 CHF"
/de/2016_30/international/725227,4724,4410,00:04:30,3631,"89,78 %","80,84 %","0,00 CHF"
/de/2016_31/basel/725831,4107,3897,00:03:22,3450,"89,01 %","81,50 %","0,00 CHF"
/de/2016_28/sport/724381,3990,3638,00:03:53,1690,"85,62 %","65,86 %","0,00 CHF"
/de/2016_31/basel/725725,3742,3537,00:02:37,2544,"87,30 %","71,11 %","0,00 CHF"
/de/2016_27/basel/723559,3701,3442,00:04:11,2641,"88,60 %","75,09 %","0,00 CHF"
/de/2016_29/basel/724763,3633,3334,00:05:46,1608,"84,76 %","60,78 %","0,00 CHF"
/de/2016_29/sport/724693,3562,3353,00:02:26,1996,"84,42 %","67,74 %","0,00 CHF"
/de/2016_30/sport/724978,3489,3260,00:04:10,1819,"85,38 %","66,47 %","0,00 CHF"
