,article_id,published,type
0,730825.0,2016-09-26,news
0,523138.0,2013-03-21,news
0,730211.0,2016-09-20,news
0,730223.0,2016-09-19,news
0,728552.0,2016-08-31,news
0,729093.0,2016-09-06,news
0,729106.0,2016-09-19,news
0,729737.0,2016-09-14,news
0,729120.0,2016-09-11,news
0,730513.0,2016-09-22,news
0,730501.0,2016-09-25,news
0,730000.0,2016-09-20,news
0,730498.0,2016-09-28,news
0,730589.0,2016-09-27,news
0,728809.0,2016-09-03,news
0,730575.0,2016-09-29,news
0,729765.0,2016-09-14,news
0,728768.0,2016-09-01,news
0,730607.0,2016-09-23,news
0,730668.0,2016-09-24,news
0,730016.0,2016-09-16,newswire
0,725713.0,2016-09-06,news
0,728848.0,2016-09-05,news
0,729373.0,2016-09-20,news
0,730672.0,2016-09-24,news
0,730610.0,2016-09-23,news
0,729125.0,2016-09-09,news
0,728856.0,2016-09-02,news
0,729862.0,2016-09-15,news
0,729137.0,2016-09-07,news
0,729308.0,2016-09-12,news
0,729945.0,2016-09-16,news
0,730500.0,2016-09-25,news
0,730569.0,2016-09-30,news
0,729011.0,2016-09-05,news
0,731171.0,2016-09-30,news
0,728639.0,2016-09-01,news
0,730361.0,2016-09-21,newswire
0,730412.0,2016-09-21,news
0,729412.0,2016-09-12,news
0,730369.0,2016-09-21,news
0,729761.0,2016-09-14,news
0,730548.0,2016-09-30,news
0,730229.0,2016-09-19,newswire
0,730091.0,2016-09-18,news
0,729147.0,2016-09-08,news
0,730397.0,2016-09-21,news
0,729486.0,2016-09-11,news
0,730732.0,2016-09-25,news
0,730296.0,2016-09-21,news
0,730922.0,2016-09-27,news
0,664044.0,2016-08-06,news
0,729301.0,2016-09-08,news
0,730432.0,2016-09-22,news
0,729433.0,2016-09-14,news
0,730209.0,2016-09-20,news
0,729127.0,2016-09-06,news
0,729193.0,2016-09-09,news
0,730289.0,2016-09-20,news
0,729310.0,2016-09-08,news
0,728924.0,2016-09-05,news
0,729385.0,2016-09-09,newswire
0,730396.0,2016-09-27,news
0,731151.0,2016-09-30,news
0,729899.0,2016-09-16,news
0,729911.0,2016-09-15,news
0,729483.0,2016-09-10,news
0,730914.0,2016-09-29,news
0,729930.0,2016-09-15,news
0,728136.0,2016-09-03,news
0,730429.0,2016-09-22,news
0,729939.0,2016-09-15,news
0,730334.0,2016-09-22,news
0,715465.0,2016-08-23,news
0,730428.0,2016-09-22,news
0,729142.0,2016-09-09,news
0,729099.0,2016-09-07,news
0,729041.0,2016-09-06,news
0,730828.0,2016-09-26,news
0,731131.0,2016-09-29,news
0,677635.0,2015-01-24,news
0,728627.0,2016-09-01,news
0,729378.0,2016-09-09,news
0,730325.0,2016-09-22,news
0,730783.0,2016-09-27,news
0,729925.0,2016-09-16,news
0,728855.0,2016-09-04,news
0,729601.0,2016-09-13,news
0,728842.0,2016-09-02,news
0,729827.0,2016-09-14,news
0,729312.0,2016-09-08,news
0,730331.0,2016-09-21,news
0,729012.0,2016-09-06,news
0,729867.0,2016-09-16,news
0,729046.0,2016-09-08,news
0,729923.0,2016-09-15,news
0,729842.0,2016-09-14,news
0,728630.0,2016-09-08,news
0,730919.0,2016-09-28,news
0,729849.0,2016-09-24,news
0,730590.0,2016-09-23,news
0,729033.0,2016-09-06,news
0,730002.0,2016-09-18,news
0,729227.0,2016-09-10,news
0,731125.0,2016-09-30,news
0,731019.0,2016-09-29,news
0,730239.0,2016-09-22,news
0,729928.0,2016-09-15,news
0,729757.0,2016-09-15,news
0,730600.0,2016-09-26,news
0,729749.0,2016-09-13,news
0,728843.0,2016-09-03,news
0,730095.0,2016-09-18,news
0,730933.0,2016-09-28,news
0,729957.0,2016-09-16,news
0,731027.0,2016-09-29,news
0,730080.0,2016-09-17,news
0,729996.0,2016-09-16,news
0,729732.0,2016-09-13,news
0,729146.0,2016-09-11,news
0,728777.0,2016-09-02,news
0,729087.0,2016-09-06,news
0,730109.0,2016-09-18,news
0,730401.0,2016-09-21,news
0,730238.0,2016-09-19,news
0,730806.0,2016-09-26,news
0,730925.0,2016-09-29,news
0,728215.0,2016-09-02,news
0,729320.0,2016-09-09,news
0,728741.0,2016-09-01,news
0,728813.0,2016-09-03,news
0,729109.0,2016-09-07,news
0,729048.0,2016-09-05,news
0,730963.0,2016-09-28,newswire
0,729664.0,2016-09-13,news
0,728751.0,2016-09-02,news
0,731016.0,2016-09-28,news
0,729592.0,2016-09-12,news
0,729929.0,2016-09-15,news
0,730880.0,2016-09-27,news
0,730964.0,2016-09-28,news
0,730622.0,2016-09-25,news
0,728815.0,2016-09-02,news
0,729148.0,2016-09-06,news
0,730306.0,2016-09-20,news
0,728711.0,2016-09-07,news
0,728481.0,2016-08-31,news
0,729619.0,2016-09-12,news
0,729621.0,2016-09-13,news
0,730818.0,2016-09-26,newswire
0,729736.0,2016-09-19,news
0,729245.0,2016-09-09,news
0,719786.0,2016-05-21,news
0,729906.0,2016-09-15,news
0,729135.0,2016-09-06,news
0,730011.0,2016-09-19,news
0,730832.0,2016-09-27,news
0,730309.0,2016-09-22,news
0,730203.0,2016-09-19,news
0,729838.0,2016-09-15,news
0,730474.0,2016-09-23,news
0,729357.0,2016-09-09,news
0,728557.0,2016-09-04,news
0,729818.0,2016-09-16,news
0,516715.0,2013-02-28,news
0,729624.0,2016-09-16,news
0,730409.0,2016-09-23,news
0,729584.0,2016-09-12,newswire
0,449400.0,2012-08-14,news
0,730983.0,2016-09-28,news
0,730721.0,2016-09-26,news
0,730865.0,2016-09-27,news
0,683236.0,2015-03-18,news
0,729375.0,2016-09-10,news
0,730613.0,2016-09-23,news
0,728773.0,2016-09-01,newswire
0,728488.0,2016-09-02,news
0,730584.0,2016-09-27,news
0,730027.0,2016-09-17,news
0,728584.0,2016-09-01,news
0,665174.0,2015-05-11,news
0,665288.0,2014-08-07,news
0,730729.0,2016-09-25,news
0,729762.0,2016-09-14,news
0,730173.0,2016-09-18,news
0,728722.0,2016-09-01,news
0,730318.0,2016-09-20,newswire
0,728594.0,2016-09-01,news
0,731165.0,2016-09-30,news
0,730582.0,2016-09-27,news
0,730326.0,2016-09-21,news
0,729297.0,2016-09-08,news
0,729126.0,2016-09-12,news
0,730836.0,2016-09-27,news
0,729212.0,2016-09-08,news
0,729593.0,2016-09-13,news
0,729766.0,2016-09-15,news
0,728698.0,2016-09-03,news
0,730803.0,2016-09-27,news
0,730218.0,2016-09-26,news
0,730271.0,2016-09-20,news
0,730534.0,2016-09-23,news
0,727956.0,2016-09-01,news
0,730612.0,2016-09-23,newswire
0,730300.0,2016-09-25,news
0,728498.0,2016-08-31,news
0,728869.0,2016-09-06,news
0,730570.0,2016-09-23,news
0,728728.0,2016-09-01,news
0,729815.0,2016-09-14,news
0,730903.0,2016-09-28,news
0,469385.0,2012-10-10,news
0,730896.0,2016-09-28,news
0,730906.0,2016-09-27,news
0,730969.0,2016-09-29,news
0,728705.0,2016-09-01,news
0,729018.0,2016-09-05,newswire
0,730149.0,2016-09-18,news
0,730784.0,2016-09-26,newswire
0,730406.0,2016-09-26,news
0,729615.0,2016-09-12,news
0,729646.0,2016-09-13,news
0,729976.0,2016-09-16,news
0,730866.0,2016-09-27,news
0,730330.0,2016-09-23,news
0,728025.0,2016-09-11,news
0,729285.0,2016-09-08,news
0,730385.0,2016-09-21,news
0,729216.0,2016-09-07,news
0,730323.0,2016-09-22,news
0,730230.0,2016-09-19,news
0,688737.0,2015-05-26,news
0,730008.0,2016-09-17,news
0,729808.0,2016-09-14,news
0,729307.0,2016-09-12,news
0,729152.0,2016-09-08,news
0,730455.0,2016-09-21,news
0,730078.0,2016-09-17,news
0,730897.0,2016-09-27,newswire
0,730979.0,2016-09-29,news
0,728655.0,2016-09-01,news
0,729712.0,2016-09-13,newswire
0,729487.0,2016-09-10,news
0,730565.0,2016-09-23,news
0,729719.0,2016-09-13,news
0,728561.0,2016-09-01,news
0,730924.0,2016-09-28,news
0,713193.0,2016-03-03,news
0,730101.0,2016-09-17,news
0,728836.0,2016-09-07,news
0,730819.0,2016-09-26,newswire
0,729848.0,2016-09-14,newswire
0,729893.0,2016-09-15,news
0,727581.0,2016-08-19,news
0,730621.0,2016-09-25,news
0,729856.0,2016-09-18,news
0,730417.0,2016-09-22,news
0,485506.0,2012-11-29,news
0,729756.0,2016-09-14,news
0,730096.0,2016-09-18,news
0,730780.0,2016-09-26,news
0,730602.0,2016-09-24,news
0,730997.0,2016-09-28,news
0,729715.0,2016-09-17,news
0,730286.0,2016-09-21,news
0,730287.0,2016-09-24,news
0,729170.0,2016-09-07,newswire
0,728861.0,2016-09-04,news
0,729943.0,2016-09-15,news
0,681350.0,2015-02-24,news
0,729293.0,2016-09-08,newswire
0,729244.0,2016-09-09,news
0,728966.0,2016-09-05,news
0,730885.0,2016-09-27,news
0,728494.0,2016-08-31,news
0,729840.0,2016-09-14,news
0,729086.0,2016-09-06,news
0,730187.0,2016-09-19,news
0,728725.0,2016-09-01,newswire
0,729944.0,2016-09-17,news
0,730037.0,2016-09-20,news
0,730908.0,2016-09-28,news
0,731022.0,2016-09-29,news
0,729009.0,2016-09-05,news
0,730786.0,2016-09-26,news
0,730329.0,2016-09-23,news
0,730545.0,2016-09-22,newswire
0,730975.0,2016-09-28,news
0,690411.0,2015-06-13,news
0,717511.0,2016-04-23,news
0,715628.0,2016-04-03,news
0,728672.0,2016-09-05,news
0,728841.0,2016-09-02,newswire
0,729606.0,2016-09-12,news
0,729419.0,2016-09-10,news
0,728870.0,2016-09-02,news
0,729325.0,2016-09-08,news
0,729710.0,2016-09-18,news
0,665467.0,2014-08-09,news
0,729921.0,2016-09-15,newswire
0,728545.0,2016-09-28,news
0,728523.0,2016-08-30,news
0,730380.0,2016-09-21,news
0,729605.0,2016-09-19,news
0,729013.0,2016-09-05,news
0,728002.0,2016-08-28,news
0,700059.0,2015-10-02,news
0,731121.0,2016-09-29,news
0,728859.0,2016-09-03,news
0,729753.0,2016-09-15,news
0,729683.0,2016-09-13,newswire
0,727931.0,2016-08-23,news
0,721953.0,2016-06-14,news
0,729470.0,2016-09-10,news
0,731081.0,2016-09-29,news
0,729696.0,2016-09-13,news
0,728953.0,2016-09-04,newswire
0,728814.0,2016-09-02,news
0,729025.0,2016-09-05,newswire
0,728736.0,2016-09-01,newswire
0,729918.0,2016-09-19,news
0,730775.0,2016-09-26,newswire
0,726700.0,2016-08-23,news
0,713146.0,2016-03-07,news
0,537768.0,2013-04-30,news
0,730199.0,2016-09-19,news
0,730302.0,2016-09-24,news
0,730791.0,2016-09-26,news
0,729239.0,2016-09-09,news
0,729735.0,2016-09-13,newswire
0,728529.0,2016-08-30,news
0,728911.0,2016-09-03,newswire
0,730299.0,2016-09-21,news
0,729130.0,2016-09-06,news
0,728437.0,2016-08-30,news
0,587799.0,2013-10-07,news
0,626805.0,2014-01-16,news
0,729997.0,2016-09-16,news
0,731082.0,2016-09-29,news
0,728824.0,2016-09-02,newswire
0,730868.0,2016-09-27,news
0,728781.0,2016-09-01,newswire
0,729053.0,2016-09-05,newswire
0,730574.0,2016-09-24,news
0,728696.0,2016-09-01,news
0,729228.0,2016-09-11,news
0,730595.0,2016-09-23,newswire
0,726139.0,2016-08-05,news
0,728134.0,2016-09-03,news
0,730995.0,2016-09-28,newswire
0,730915.0,2016-09-27,newswire
0,729391.0,2016-09-09,news
0,669021.0,2014-09-28,news
0,730900.0,2016-09-27,newswire
0,730281.0,2016-09-20,news
0,730090.0,2016-09-17,newswire
0,574057.0,2013-08-30,news
0,729717.0,2016-09-13,news
0,730012.0,2016-09-16,newswire
0,720593.0,2016-05-30,news
0,704845.0,2015-11-30,news
0,727925.0,2016-08-25,news
0,728853.0,2016-09-02,newswire
0,686580.0,2015-04-28,news
0,728787.0,2016-09-01,newswire
0,730529.0,2016-09-26,news
0,729076.0,2016-09-06,newswire
0,556692.0,2013-07-02,news
0,728805.0,2016-09-02,news
0,729347.0,2016-09-08,newswire
0,727825.0,2016-08-30,news
0,488247.0,2012-12-06,news
0,728146.0,2016-08-30,news
0,722807.0,2016-06-23,news
0,729112.0,2016-09-06,newswire
0,731120.0,2016-09-30,news
0,720594.0,2016-06-02,news
0,729803.0,2016-09-14,newswire
0,481307.0,2012-11-14,news
0,611082.0,2013-11-28,news
0,729207.0,2016-09-08,news
0,730879.0,2016-09-27,newswire
0,730829.0,2016-09-26,newswire
0,693355.0,2015-07-14,news
0,729065.0,2016-09-05,newswire
0,692567.0,2015-07-06,news
0,729222.0,2016-09-07,newswire
0,730089.0,2016-09-17,newswire
0,731117.0,2016-09-29,news
0,435756.0,2012-07-13,news
0,670284.0,2014-10-12,news
0,728583.0,2016-08-31,news
0,571302.0,2013-08-24,news
0,729253.0,2016-09-08,news
0,410856.0,2012-03-30,news
0,697463.0,2015-12-25,news
0,686316.0,2015-04-27,news
0,729647.0,2016-09-12,news
0,729742.0,2016-09-13,newswire
0,730482.0,2016-09-22,newswire
0,557001.0,2013-07-03,news
0,468720.0,2012-10-12,news
0,714998.0,2016-03-26,news
0,728866.0,2016-09-02,newswire
0,728542.0,2016-08-31,news
0,729596.0,2016-09-12,news
0,728865.0,2016-09-04,news
0,730310.0,2016-09-20,newswire
0,730195.0,2016-09-19,news
0,726141.0,2016-08-15,news
0,659653.0,2014-05-28,news
0,688700.0,2015-05-22,news
0,730515.0,2016-09-23,news
0,584941.0,2013-10-03,news
0,686818.0,2015-04-30,news
0,729377.0,2016-09-09,news
0,730792.0,2016-09-26,newswire
0,730244.0,2016-09-20,news
0,692306.0,2015-07-01,news
0,728974.0,2016-09-04,newswire
0,729809.0,2016-09-14,news
0,729812.0,2016-09-22,news
0,729435.0,2016-09-09,newswire
0,561113.0,2013-07-17,news
0,721614.0,2016-06-09,news
0,678431.0,2015-01-20,newswire
0,729276.0,2016-09-08,news
0,731040.0,2016-09-28,news
0,449436.0,2012-08-16,news
0,713045.0,2016-03-02,news
0,714817.0,2016-03-28,news
0,729198.0,2016-09-07,news
0,713660.0,2016-03-10,news
0,728827.0,2016-09-02,news
0,542617.0,2013-05-16,news
0,730471.0,2016-09-22,news
0,729186.0,2016-09-07,news
0,724700.0,2016-08-03,news
0,714396.0,2016-03-16,news
0,682319.0,2015-12-02,news
0,730023.0,2016-09-16,newswire
0,729589.0,2016-09-12,newswire
0,728408.0,2016-08-30,news
0,425520.0,2012-05-25,news
0,729195.0,2016-09-07,newswire
0,656822.0,2014-05-22,blog
0,728416.0,2016-08-29,news
0,730968.0,2016-09-28,newswire
0,449438.0,2012-08-17,news
0,730881.0,2016-09-27,newswire
0,649924.0,2014-03-08,news
0,660432.0,2014-06-06,news
0,729420.0,2016-09-09,newswire
0,730126.0,2016-09-18,newswire
0,728847.0,2016-09-03,news
0,729926.0,2016-09-15,newswire
0,730028.0,2016-09-16,newswire
0,730708.0,2016-09-25,newswire
0,721419.0,2016-06-12,news
0,730257.0,2016-09-19,newswire
0,727307.0,2016-08-17,news
0,673598.0,2014-11-18,news
0,718067.0,2016-04-30,news
0,730725.0,2016-09-25,newswire
0,442541.0,2012-07-26,news
0,730293.0,2016-09-20,newswire
0,728682.0,2016-09-01,newswire
0,729823.0,2016-09-14,newswire
0,730311.0,2016-09-20,newswire
0,729495.0,2016-09-10,newswire
0,731234.0,2016-09-30,newswire
0,680214.0,2015-02-10,news
0,727597.0,2016-08-19,news
0,728492.0,2016-09-01,news
0,676366.0,2014-12-26,news
0,728097.0,2016-08-25,news
0,728752.0,2016-09-01,newswire
0,666652.0,2014-08-25,news
0,726946.0,2016-08-12,news
0,730506.0,2016-09-22,newswire
0,727993.0,2016-08-24,news
0,730032.0,2016-09-16,newswire
0,529953.0,2013-04-08,news
0,728718.0,2016-09-01,news
0,680984.0,2015-02-22,news
0,729108.0,2016-09-06,newswire
0,647258.0,2014-03-06,news
0,701798.0,2015-10-27,news
0,670979.0,2014-10-19,news
0,730576.0,2016-09-23,newswire
0,728998.0,2016-09-05,newswire
0,729003.0,2016-09-05,newswire
0,719726.0,2016-05-19,news
0,723646.0,2016-07-01,news
0,729374.0,2016-09-09,news
0,686612.0,2015-04-30,news
0,722455.0,2016-06-18,news
0,725295.0,2016-07-22,news
0,727406.0,2016-08-18,news
0,728968.0,2016-09-05,news
0,703586.0,2015-11-17,news
0,730320.0,2016-09-20,newswire
0,726638.0,2016-08-11,news
0,729972.0,2016-09-15,newswire
0,675766.0,2014-12-13,news
0,705940.0,2015-12-10,news
0,560836.0,2013-07-16,news
0,569747.0,2013-08-15,news
0,435794.0,2012-07-09,news
0,723209.0,2016-06-27,news
0,728029.0,2016-08-25,news
0,729515.0,2016-09-10,newswire
0,666835.0,2014-08-29,news
0,726645.0,2016-08-10,news
0,554069.0,2013-06-24,news
0,728211.0,2016-08-27,news
0,729754.0,2016-09-13,newswire
0,730521.0,2016-09-22,news
0,730973.0,2016-09-28,news
0,719081.0,2016-05-17,news
0,677857.0,2015-01-14,news
0,723564.0,2016-07-01,news
0,725703.0,2016-07-29,news
0,730899.0,2016-09-27,newswire
0,659510.0,2014-05-30,news
0,686403.0,2015-04-25,news
0,725831.0,2016-07-31,news
0,728979.0,2016-09-04,newswire
0,728943.0,2016-09-04,newswire
0,678694.0,2015-01-26,news
0,729295.0,2016-09-08,newswire
0,666379.0,2014-08-22,news
0,730996.0,2016-09-28,newswire
0,571615.0,2013-08-22,news
0,516444.0,2013-02-27,news
0,729402.0,2016-09-09,newswire
0,729814.0,2016-09-14,news
0,668105.0,2014-09-14,news
0,728904.0,2016-09-03,newswire
0,729020.0,2016-09-05,newswire
0,730254.0,2016-09-19,newswire
0,728982.0,2016-09-04,newswire
0,696254.0,2015-08-18,news
0,729641.0,2016-09-12,newswire
0,729616.0,2016-09-12,news
0,729671.0,2016-09-12,newswire
0,729658.0,2016-09-12,newswire
0,713839.0,2016-03-12,news
0,728995.0,2016-09-05,newswire
0,729225.0,2016-09-07,newswire
0,715515.0,2016-04-01,news
0,724157.0,2016-07-20,news
0,729813.0,2016-09-14,newswire
0,731000.0,2016-09-28,newswire
0,680466.0,2015-02-12,news
0,729859.0,2016-09-14,newswire
0,730833.0,2016-09-26,newswire
0,699085.0,2015-09-21,news
0,730022.0,2016-09-16,newswire
0,704524.0,2015-11-24,news
0,729115.0,2016-09-06,newswire
0,730447.0,2016-09-21,newswire
0,673687.0,2014-11-20,news
0,728940.0,2016-09-04,newswire
0,433223.0,2012-06-27,news
0,576008.0,2013-09-04,news
0,725802.0,2016-08-08,news
0,729215.0,2016-09-07,newswire
0,728386.0,2016-08-29,newswire
0,730004.0,2016-09-16,news
0,730181.0,2016-09-19,newswire
0,730015.0,2016-09-16,newswire
0,655165.0,2014-04-08,news
0,730726.0,2016-09-25,newswire
0,387691.0,2012-02-17,news
0,696958.0,2015-08-26,news
0,731007.0,2016-09-28,newswire
0,454434.0,2012-08-29,newswire
0,729836.0,2016-09-14,newswire
0,730508.0,2016-09-22,newswire
0,560223.0,2013-07-15,news
0,727261.0,2016-08-22,news
0,728629.0,2016-08-31,newswire
0,660832.0,2014-06-12,news
0,723256.0,2016-06-28,news
0,730258.0,2016-09-19,newswire
0,109153.0,2011-11-11,news
0,683893.0,2015-03-27,news
0,693453.0,2015-07-15,news
0,695641.0,2015-08-21,news
0,728220.0,2016-08-28,news
