,article_id,published,type
0,727931.0,2016-08-23,news
1,728002.0,2016-08-28,news
2,726946.0,2016-08-12,news
3,726058.0,2016-08-05,news
4,727581.0,2016-08-19,news
5,664044.0,2016-08-06,news
6,728097.0,2016-08-25,news
7,726109.0,2016-08-04,news
8,726072.0,2016-08-06,news
9,726536.0,2016-08-09,news
10,727261.0,2016-08-22,news
11,727529.0,2016-08-19,news
12,726149.0,2016-08-03,news
13,724700.0,2016-08-03,news
14,726101.0,2016-08-03,news
15,725940.0,2016-08-01,news
16,726828.0,2016-08-11,news
17,726960.0,2016-08-12,news
18,726542.0,2016-08-08,news
19,728523.0,2016-08-30,news
20,726139.0,2016-08-05,news
21,725649.0,2016-08-02,news
22,727283.0,2016-08-17,news
23,728416.0,2016-08-29,news
24,726067.0,2016-08-02,news
25,728437.0,2016-08-30,news
26,725931.0,2016-07-31,news
27,726926.0,2016-08-14,news
28,727307.0,2016-08-17,news
29,726377.0,2016-08-07,news
30,728131.0,2016-08-26,news
31,728552.0,2016-08-31,news
32,726729.0,2016-08-12,news
33,726237.0,2016-08-04,news
34,728529.0,2016-08-30,news
35,727959.0,2016-08-24,news
36,726131.0,2016-08-03,news
37,726338.0,2016-08-07,news
38,727818.0,2016-08-22,news
39,726938.0,2016-08-12,news
40,727505.0,2016-08-19,news
41,728481.0,2016-08-31,news
42,728029.0,2016-08-25,news
43,727173.0,2016-08-15,news
44,697463.0,2015-12-25,news
45,726031.0,2016-08-04,news
46,727260.0,2016-08-21,news
47,727269.0,2016-08-16,news
48,683236.0,2015-03-18,news
49,728211.0,2016-08-27,news
50,726731.0,2016-08-17,news
51,726932.0,2016-08-18,news
52,727993.0,2016-08-24,news
53,726335.0,2016-08-06,news
54,726523.0,2016-08-08,news
55,727310.0,2016-08-16,news
56,728084.0,2016-08-25,news
57,727597.0,2016-08-19,news
58,726650.0,2016-08-11,news
59,727900.0,2016-08-25,news
60,727406.0,2016-08-18,news
61,727925.0,2016-08-25,news
62,726314.0,2016-08-05,news
63,726018.0,2016-08-02,news
64,727679.0,2016-08-20,news
65,727027.0,2016-08-14,news
66,726639.0,2016-08-10,news
67,726700.0,2016-08-23,news
68,728227.0,2016-08-29,news
69,727749.0,2016-08-22,news
70,726988.0,2016-08-13,news
