,article_id,published,type
0,724751.0,2016-07-15,news
0,725295.0,2016-07-22,news
0,724533.0,2016-07-13,news
0,725275.0,2016-07-26,news
0,724826.0,2016-07-16,news
0,725703.0,2016-07-29,news
0,723646.0,2016-07-01,news
0,723564.0,2016-07-01,news
0,725129.0,2016-07-20,news
0,724790.0,2016-07-15,newswire
0,724127.0,2016-07-08,news
0,724625.0,2016-07-20,news
0,724047.0,2016-07-07,news
0,724825.0,2016-07-16,news
0,725305.0,2016-07-24,news
0,723504.0,2016-07-03,news
0,725227.0,2016-07-21,news
0,725831.0,2016-07-31,news
0,724381.0,2016-07-11,news
0,725725.0,2016-07-28,news
0,723559.0,2016-07-04,news
0,724763.0,2016-07-18,news
0,724693.0,2016-07-14,news
0,724978.0,2016-07-19,news
0,724718.0,2016-07-15,news
0,724732.0,2016-07-15,news
0,725019.0,2016-07-19,newswire
0,724624.0,2016-07-13,news
0,725198.0,2016-07-21,news
0,725815.0,2016-07-29,news
0,723452.0,2016-06-29,news
0,725385.0,2016-07-24,news
0,724611.0,2016-07-14,news
0,725308.0,2016-07-22,news
0,723566.0,2016-07-03,news
0,724891.0,2016-07-17,news
0,723861.0,2016-07-04,news
0,724401.0,2016-07-11,news
0,723567.0,2016-07-02,news
0,725224.0,2016-07-21,news
0,724816.0,2016-07-16,news
0,724375.0,2016-07-11,news
0,725786.0,2016-07-30,news
0,723826.0,2016-07-04,news
0,725023.0,2016-07-19,news
0,725244.0,2016-07-22,news
0,725647.0,2016-07-28,news
0,724262.0,2016-07-08,news
0,664044.0,2016-08-06,news
0,725798.0,2016-07-29,news
0,724459.0,2016-07-11,news
0,725141.0,2016-07-21,news
0,723840.0,2016-07-05,news
0,724235.0,2016-07-09,news
0,723992.0,2016-07-06,news
0,725406.0,2016-07-24,news
0,724530.0,2016-07-12,news
0,723462.0,2016-06-30,news
0,723854.0,2016-07-05,news
0,724148.0,2016-07-13,news
0,724034.0,2016-07-07,news
0,725271.0,2016-07-22,news
0,725045.0,2016-07-24,news
0,725529.0,2016-07-27,news
0,725386.0,2016-07-24,newswire
0,725087.0,2016-07-20,news
0,725897.0,2016-07-31,news
0,724438.0,2016-07-12,news
0,725475.0,2016-07-27,news
0,717663.0,2016-07-01,news
0,723533.0,2016-07-01,news
0,724006.0,2016-07-06,news
0,725478.0,2016-07-26,news
0,725458.0,2016-07-25,news
0,724853.0,2016-07-16,news
0,723404.0,2016-06-29,news
0,725185.0,2016-07-21,news
0,677635.0,2015-01-24,news
0,725826.0,2016-07-29,news
0,665288.0,2014-08-07,news
0,724666.0,2016-07-15,news
0,725310.0,2016-07-23,news
0,724682.0,2016-07-14,news
0,723795.0,2016-07-04,news
0,725508.0,2016-07-28,news
0,666835.0,2014-08-29,news
0,724672.0,2016-07-14,news
0,725196.0,2016-07-21,news
0,725058.0,2016-07-19,news
0,724057.0,2016-07-06,news
0,724638.0,2016-07-15,news
0,723622.0,2016-07-01,news
0,725046.0,2016-07-20,news
0,672669.0,2014-12-19,news
0,723750.0,2016-07-03,newswire
0,724792.0,2016-07-20,news
0,725668.0,2016-07-27,newswire
0,705926.0,2015-12-09,news
0,723494.0,2016-06-30,news
0,725477.0,2016-07-27,news
0,724157.0,2016-07-20,news
0,724783.0,2016-07-15,news
0,723912.0,2016-07-06,news
0,665174.0,2015-05-11,news
0,725330.0,2016-07-23,news
0,725530.0,2016-07-26,news
0,724974.0,2016-07-19,news
0,725036.0,2016-07-19,news
0,722946.0,2016-06-24,news
0,724243.0,2016-07-08,news
0,724599.0,2016-07-14,news
0,721477.0,2016-07-02,news
0,725014.0,2016-07-21,news
0,725288.0,2016-07-22,news
0,724930.0,2016-07-18,news
0,724737.0,2016-07-15,newswire
0,723749.0,2016-07-03,news
0,723847.0,2016-07-07,news
0,723661.0,2016-07-02,news
0,724103.0,2016-07-08,news
0,725718.0,2016-07-28,newswire
0,723638.0,2016-07-22,news
0,725488.0,2016-07-26,news
0,724258.0,2016-07-08,news
0,724226.0,2016-07-08,news
0,724242.0,2016-07-10,news
0,724005.0,2016-07-07,news
0,724876.0,2016-07-17,news
0,723932.0,2016-07-05,news
0,723709.0,2016-07-04,news
0,725062.0,2016-07-19,news
0,725407.0,2016-07-24,news
0,723534.0,2016-07-05,news
0,724675.0,2016-07-14,news
0,724027.0,2016-07-06,news
0,724398.0,2016-07-12,news
0,725440.0,2016-07-25,news
0,724588.0,2016-07-13,news
0,723745.0,2016-07-03,news
0,725459.0,2016-07-25,news
0,724539.0,2016-07-14,news
0,725744.0,2016-07-29,news
0,724589.0,2016-07-13,news
0,705302.0,2015-12-03,news
0,725433.0,2016-07-25,newswire
0,723600.0,2016-07-01,news
0,724017.0,2016-07-09,news
0,724378.0,2016-07-10,newswire
0,449400.0,2012-08-14,news
0,725564.0,2016-07-29,news
0,724733.0,2016-07-23,news
0,725609.0,2016-07-29,news
0,725302.0,2016-07-22,news
0,723935.0,2016-07-06,news
0,724702.0,2016-07-15,news
0,725108.0,2016-07-20,news
0,724052.0,2016-07-07,news
0,725091.0,2016-07-22,news
0,725606.0,2016-07-28,news
0,724149.0,2016-07-08,news
0,724447.0,2016-07-12,news
0,724455.0,2016-07-17,news
0,724480.0,2016-07-12,news
0,723852.0,2016-07-05,news
0,724218.0,2016-07-09,news
0,723838.0,2016-07-05,news
0,725706.0,2016-07-29,news
0,723944.0,2016-07-05,news
0,516715.0,2013-02-28,news
0,723851.0,2016-07-04,news
0,724009.0,2016-07-06,news
0,724781.0,2016-07-15,newswire
0,700516.0,2015-10-08,news
0,724965.0,2016-07-18,news
0,724960.0,2016-07-18,news
0,724815.0,2016-07-15,newswire
0,725472.0,2016-07-25,news
0,723531.0,2016-06-30,news
0,723825.0,2016-07-06,news
0,723902.0,2016-07-05,news
0,723777.0,2016-07-03,newswire
0,724403.0,2016-07-11,news
0,724496.0,2016-07-12,news
0,724090.0,2016-07-07,news
0,725107.0,2016-07-20,newswire
0,725899.0,2016-07-31,news
0,724418.0,2016-07-12,news
0,725321.0,2016-07-22,newswire
0,723943.0,2016-07-06,news
0,724580.0,2016-07-13,news
0,660432.0,2014-06-06,news
0,723727.0,2016-07-03,newswire
0,725270.0,2016-07-22,news
0,725528.0,2016-07-26,news
0,723837.0,2016-07-06,news
0,725566.0,2016-07-26,newswire
0,722389.0,2016-07-02,news
