,article_id,published,type
0,730825.0,2016-09-26,news
1,523138.0,2013-03-21,news
2,730211.0,2016-09-20,news
3,730223.0,2016-09-19,news
4,728552.0,2016-08-31,news
5,729093.0,2016-09-06,news
6,729106.0,2016-09-19,news
7,729737.0,2016-09-14,news
8,729120.0,2016-09-11,news
9,730513.0,2016-09-22,news
10,730501.0,2016-09-25,news
11,730000.0,2016-09-20,news
12,730498.0,2016-09-28,news
13,730589.0,2016-09-27,news
14,728809.0,2016-09-03,news
15,730575.0,2016-09-29,news
16,729765.0,2016-09-14,news
17,728768.0,2016-09-01,news
18,730607.0,2016-09-23,news
19,730668.0,2016-09-24,news
20,730016.0,2016-09-16,newswire
21,725713.0,2016-09-06,news
22,728848.0,2016-09-05,news
23,729373.0,2016-09-20,news
24,730672.0,2016-09-24,news
25,730610.0,2016-09-23,news
26,729125.0,2016-09-09,news
27,728856.0,2016-09-02,news
28,729862.0,2016-09-15,news
29,729137.0,2016-09-07,news
30,729308.0,2016-09-12,news
31,729945.0,2016-09-16,news
32,730500.0,2016-09-25,news
33,730569.0,2016-09-30,news
34,729011.0,2016-09-05,news
35,731171.0,2016-09-30,news
36,728639.0,2016-09-01,news
37,730361.0,2016-09-21,newswire
38,730412.0,2016-09-21,news
39,729412.0,2016-09-12,news
40,730369.0,2016-09-21,news
41,729761.0,2016-09-14,news
42,730548.0,2016-09-30,news
43,730229.0,2016-09-19,newswire
44,730091.0,2016-09-18,news
45,729147.0,2016-09-08,news
46,730397.0,2016-09-21,news
47,729486.0,2016-09-11,news
48,730732.0,2016-09-25,news
49,730296.0,2016-09-21,news
50,730922.0,2016-09-27,news
51,664044.0,2016-08-06,news
52,729301.0,2016-09-08,news
53,730432.0,2016-09-22,news
54,729433.0,2016-09-14,news
55,730209.0,2016-09-20,news
56,729127.0,2016-09-06,news
57,729193.0,2016-09-09,news
58,730289.0,2016-09-20,news
59,729310.0,2016-09-08,news
60,728924.0,2016-09-05,news
61,729385.0,2016-09-09,newswire
62,730396.0,2016-09-27,news
63,731151.0,2016-09-30,news
64,729899.0,2016-09-16,news
65,729911.0,2016-09-15,news
66,729483.0,2016-09-10,news
67,730914.0,2016-09-29,news
68,729930.0,2016-09-15,news
69,728136.0,2016-09-03,news
70,730429.0,2016-09-22,news
71,729939.0,2016-09-15,news
72,730334.0,2016-09-22,news
73,715465.0,2016-08-23,news
74,730428.0,2016-09-22,news
75,729142.0,2016-09-09,news
76,729099.0,2016-09-07,news
77,729041.0,2016-09-06,news
78,730828.0,2016-09-26,news
79,731131.0,2016-09-29,news
80,677635.0,2015-01-24,news
81,728627.0,2016-09-01,news
82,729378.0,2016-09-09,news
83,730325.0,2016-09-22,news
84,730783.0,2016-09-27,news
85,729925.0,2016-09-16,news
86,728855.0,2016-09-04,news
87,729601.0,2016-09-13,news
88,728842.0,2016-09-02,news
89,729827.0,2016-09-14,news
90,729312.0,2016-09-08,news
91,730331.0,2016-09-21,news
92,729012.0,2016-09-06,news
93,729867.0,2016-09-16,news
94,729046.0,2016-09-08,news
95,729923.0,2016-09-15,news
96,729842.0,2016-09-14,news
97,728630.0,2016-09-08,news
98,730919.0,2016-09-28,news
99,729849.0,2016-09-24,news
100,730590.0,2016-09-23,news
101,729033.0,2016-09-06,news
102,730002.0,2016-09-18,news
103,729227.0,2016-09-10,news
104,731125.0,2016-09-30,news
105,731019.0,2016-09-29,news
106,730239.0,2016-09-22,news
107,729928.0,2016-09-15,news
108,729757.0,2016-09-15,news
109,730600.0,2016-09-26,news
110,729749.0,2016-09-13,news
111,728843.0,2016-09-03,news
112,730095.0,2016-09-18,news
113,730933.0,2016-09-28,news
114,729957.0,2016-09-16,news
115,731027.0,2016-09-29,news
116,730080.0,2016-09-17,news
117,729996.0,2016-09-16,news
118,729732.0,2016-09-13,news
119,729146.0,2016-09-11,news
120,728777.0,2016-09-02,news
121,729087.0,2016-09-06,news
122,730109.0,2016-09-18,news
123,730401.0,2016-09-21,news
124,730238.0,2016-09-19,news
125,730806.0,2016-09-26,news
126,730925.0,2016-09-29,news
127,728215.0,2016-09-02,news
128,729320.0,2016-11-18,news
129,728741.0,2016-09-01,news
130,728813.0,2016-09-03,news
131,729109.0,2016-09-07,news
132,729048.0,2016-09-05,news
133,730963.0,2016-09-28,newswire
134,729664.0,2016-09-13,news
135,728751.0,2016-09-02,news
136,731016.0,2016-09-28,news
137,729592.0,2016-09-12,news
138,729929.0,2016-09-15,news
139,730880.0,2016-09-27,news
140,730964.0,2016-09-28,news
141,730622.0,2016-09-25,news
142,728815.0,2016-09-02,news
143,729148.0,2016-09-06,news
144,730306.0,2016-09-20,news
145,728711.0,2016-09-07,news
146,728481.0,2016-08-31,news
147,729619.0,2016-09-12,news
148,729621.0,2016-09-13,news
149,730818.0,2016-09-26,newswire
150,729736.0,2016-09-19,news
151,729245.0,2016-09-09,news
152,719786.0,2016-05-21,news
153,729906.0,2016-09-15,news
154,729135.0,2016-09-06,news
155,730011.0,2016-09-19,news
156,730832.0,2016-09-27,news
157,730309.0,2016-09-22,news
158,730203.0,2016-09-19,news
