Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert
/de/2016_40/kultur/730825,14731,12507,00:04:23,11174,"78,45 %","71,61 %","0,00 CHF"
/de/2013_12/basel/523138,13936,13105,00:04:39,13058,"92,29 %","91,60 %","0,00 CHF"
/de/2016_38/kultur/730211,13792,12680,00:05:35,10266,"90,85 %","83,74 %","0,00 CHF"
/de/2016_38/sport/730223,10928,10310,00:03:26,8724,"91,71 %","83,25 %","0,00 CHF"
/de/2016_38/basel/,8688,6321,00:01:12,536,"38,06 %","25,03 %","0,00 CHF"
/de/2016_37/basel/,7769,5600,00:01:14,600,"30,00 %","24,80 %","0,00 CHF"
/de/2016_36/schweiz/728552,7098,6614,00:05:26,5645,"93,14 %","84,74 %","0,00 CHF"
/de/2016_37/basel/729093,7051,6669,00:03:35,5940,"91,20 %","84,92 %","0,00 CHF"
/de/2016_37/basel/729106,6722,6280,00:05:54,5360,"91,19 %","83,58 %","0,00 CHF"
/de/2016_38/basel/729737,6706,6276,00:03:57,4553,"88,67 %","73,86 %","0,00 CHF"
/de/2016_38/sport/,6200,4433,00:00:59,344,"35,47 %","24,48 %","0,00 CHF"
/omniticker/,6097,1767,00:01:56,604,"39,24 %","12,30 %","0,00 CHF"
/de/2016_40/basel/,5848,4041,00:01:06,253,"33,20 %","22,79 %","0,00 CHF"
/de/2016_39/basel/,5764,4176,00:01:08,289,"38,75 %","25,56 %","0,00 CHF"
/de/2016_37/schweiz/729120,5548,5103,00:06:09,4200,"91,90 %","82,75 %","0,00 CHF"
/de/2016_39/sport/730513,5442,5146,00:03:59,3364,"90,55 %","75,01 %","0,00 CHF"
/de/2016_39/basel/730501,5399,5083,00:04:06,4735,"91,95 %","87,48 %","0,00 CHF"
/de/2016_38/kultur/730000,5271,4937,00:04:59,4540,"89,67 %","84,75 %","0,00 CHF"
/de/2016_37/sport/,5142,3903,00:01:21,358,"38,83 %","34,36 %","0,00 CHF"
/de/2016_39/schweiz/730498,4841,4494,00:04:04,3047,"86,38 %","69,86 %","0,00 CHF"
/de/2016_39/basel/730589,4827,4513,00:03:35,3559,"85,59 %","74,04 %","0,00 CHF"
/de/2016_36/basel/728809,4699,4388,00:03:54,3838,"89,47 %","81,80 %","0,00 CHF"
/de/2016_39/sport/,4666,3290,00:01:12,275,"33,45 %","25,63 %","0,00 CHF"
/de/2016_40/leben/730575,4435,4094,00:04:01,3794,"90,64 %","85,61 %","0,00 CHF"
/de/2016_38/kultur/729765,4416,4179,00:05:07,3954,"92,36 %","89,49 %","0,00 CHF"
/de/2016_36/basel/728768,4399,4084,00:03:20,3372,"90,81 %","79,22 %","0,00 CHF"
/de/2016_39/basel/730607,4322,3880,00:03:28,2618,"86,25 %","68,42 %","0,00 CHF"
/de/2016_39/leben/730668,4307,3893,00:03:38,2218,"85,39 %","64,48 %","0,00 CHF"
/de/2016_38/sport/730016,4225,3973,00:03:52,3580,"91,09 %","86,01 %","0,00 CHF"
/de/2016_36/basel/,4210,3066,00:01:13,358,"36,59 %","26,32 %","0,00 CHF"
/de/2016_37/leben/725713,4138,3911,00:02:58,3448,"90,84 %","83,04 %","0,00 CHF"
/de/2016_36/basel/728848,4137,3791,00:03:40,2648,"87,88 %","70,95 %","0,00 CHF"
/de/2016_40/sport/,4042,2904,00:01:03,221,"36,65 %","23,80 %","0,00 CHF"
/de/2016_38/leben/729373,4038,3818,00:04:26,3284,"91,93 %","85,19 %","0,00 CHF"
/de/2016_39/sport/730672,4022,3308,00:05:19,1959,"85,76 %","67,30 %","0,00 CHF"
/de/blogs/speakerscorner/728835,3907,3690,00:03:13,3021,"89,84 %","79,06 %","0,00 CHF"
/classifieds,3866,2770,00:01:14,1484,"56,00 %","37,45 %","0,00 CHF"
/de/2016_39/sport/730610,3623,3358,00:04:05,2548,"90,93 %","80,79 %","0,00 CHF"
/de/2016_37/basel/729125,3562,3229,00:02:59,1934,"82,01 %","61,88 %","0,00 CHF"
/de/2016_38/schweiz/,3506,2621,00:01:08,108,"55,56 %","20,42 %","0,00 CHF"
/de/2016_36/leben/728856,3499,3286,00:03:36,2808,"90,56 %","82,42 %","0,00 CHF"
