,topic_id,count,pageviews,average,level0,level1,level2,level3,title
0,2,1625,1251583,770.204923076923,Sport,,,,Sport
1,26,1372,1237066,901.6516034985423,Sport,Fussball,,,Fussball
2,3,901,995588,1104.9811320754718,Sport,Fussball,FC Basel,,FC Basel
3,646,799,303126,379.3817271589487,Basel,,,,Basel
4,129,716,302460,422.4301675977654,Kultur,,,,Kultur
5,28,586,450749,769.1962457337884,Gesellschaft,,,,Gesellschaft
6,144,566,202257,357.3445229681979,Kultur,Kunst,,,Kunst
7,18,562,331397,589.6743772241992,Politik,,,,Politik
8,133,561,265188,472.70588235294116,Kultur,Musik,,,Musik
9,455,496,309442,623.875,Lokales,Stadtentwicklung,,,Stadtentwicklung
10,142,439,140655,320.39863325740316,Lokales,,,,Lokales
11,141,428,274345,640.9929906542056,Wirtschaft,,,,Wirtschaft
12,537,357,160031,448.26610644257704,_Textformen & feste Rubriken,Interview,,,Interview
13,288,346,189888,548.8092485549133,Politik,_Themen,Migration,,Migration
14,215,330,93365,282.92424242424244,Kultur,Ausstellung,,,Ausstellung
15,202,322,158413,491.96583850931677,Baselland,,,,Baselland
16,241,322,114707,356.2329192546584,Kultur,Museen,,,Museen
17,145,319,103631,324.86206896551727,Kultur,Film,,,Film
18,177,317,174501,550.4763406940064,Verkehr,,,,Verkehr
19,134,302,91218,302.04635761589407,Kultur,Literatur & Lyrik,,,Literatur & Lyrik
20,304,261,334906,1283.1647509578545,Wirtschaft,Gastronomie,,,Gastronomie
21,100,253,208511,824.1541501976285,Region der Schweiz,Kanton Basel-Stadt,,,Kanton Basel-Stadt
22,285,231,291199,1260.6017316017317,Sport,Fussball,Swiss Football League SFL,,Swiss Football League SFL
23,975,221,243363,1101.1900452488687,Politik,_Themen,Migration,Flüchtlinge,Flüchtlinge
24,520,221,155548,703.8371040723982,Lifestyle,Freizeit,,,Freizeit
25,135,219,69625,317.92237442922374,Kultur,Theater,,,Theater
26,143,216,181900,842.1296296296297,Medien,,,,Medien
27,33,214,159254,744.1775700934579,Digital,,,,Digital
28,513,214,186057,869.4252336448598,Politik,Abstimmungen & Wahlen,,,Abstimmungen & Wahlen
29,219,213,88616,416.037558685446,Umwelt & Natur,,,,Umwelt & Natur
30,454,210,142717,679.6047619047619,Lifestyle,,,,Lifestyle
31,7,208,90895,436.9951923076923,_Länder,Europa,Schweiz,,Schweiz
32,636,205,136518,665.9414634146342,Gesellschaft,Gesundheit,,,Gesundheit
33,236,201,123825,616.044776119403,Bildung,,,,Bildung
34,170,198,104063,525.570707070707,Kultur,Konzerte,,,Konzerte
35,538,198,257920,1302.6262626262626,_Textformen & feste Rubriken,Kommentar,,,Kommentar
36,441,192,159400,830.2083333333334,Sport,Fussball,Champions League,,Champions League
37,175,188,75158,399.77659574468083,Lifestyle,Reisen,,,Reisen
38,126,188,250987,1335.037234042553,Region der Schweiz,Region Basel,,,Region Basel
39,309,185,138299,747.5621621621622,Politik,_Organe,Regierungsrat BS,,Regierungsrat BS
40,1007,174,307383,1766.5689655172414,Politik,Abstimmungen & Wahlen,Wahlen BS 2016,,Wahlen BS 2016
41,213,168,106175,631.9940476190476,Verkehr,Öffentlicher Verkehr,,,Öffentlicher Verkehr
42,605,162,57352,354.0246913580247,_Textformen & feste Rubriken,Kultwerk,,,Kultwerk
43,157,161,104407,648.4906832298136,Politik,_Organe,Grosser Rat BS,,Grosser Rat BS
44,291,159,164744,1036.125786163522,Politik,_Themen,Migration,Asylwesen,Asylwesen
45,45,155,75560,487.48387096774195,Kino,,,,Kino
46,240,154,153489,996.6818181818181,Lifestyle,Konsum,,,Konsum
47,503,152,90708,596.7631578947369,Gesellschaft,Arbeit,,,Arbeit
48,435,152,112484,740.0263157894736,Lifestyle,Ernährung,,,Ernährung
49,708,151,177544,1175.7880794701987,Sport,Fussball,Europa League,,Europa League
50,579,151,120812,800.0794701986755,Justiz,,,,Justiz
51,772,151,110565,732.2185430463576,_Quartiere,Kleinbasel,,,Kleinbasel
52,600,150,57238,381.58666666666664,_Textformen & feste Rubriken,Wochenendlich,,,Wochenendlich
53,527,149,40441,271.4161073825503,Kultur,Kulturpolitik,,,Kulturpolitik
54,738,147,125436,853.3061224489796,Sport,Fussball,Euro 2016,,Euro 2016
55,171,145,34766,239.7655172413793,Kultur,Fotografie,,,Fotografie
56,1019,144,68522,475.84722222222223,Region heute,,,,Region heute
57,770,142,127948,901.0422535211268,_Quartiere,,,,_Quartiere
58,629,142,132249,931.330985915493,_Textformen & feste Rubriken,Porträt,,,Porträt
59,311,140,98353,702.5214285714286,Sport,Fussball,Nationalmannschaft,,Nationalmannschaft
60,767,137,80332,586.3649635036496,Kultur,Festivals,,,Festivals
