,topic_id,count,pageviews,average,median,min,max,level0,level1,level2,level3,title
0,2,884,1151570,1302.6809954751131,807.5,22,23104,Sport,,,,Sport
1,26,813,1148905,1413.1672816728167,957.0,22,23104,Sport,Fussball,,,Fussball
2,3,484,920910,1902.706611570248,1556.5,23,23104,Sport,Fussball,FC Basel,,FC Basel
3,18,248,290811,1172.625,488.5,24,19312,Politik,,,,Politik
4,129,220,242740,1103.3636363636363,692.5,40,9825,Kultur,,,,Kultur
5,141,212,222145,1047.8537735849056,396.0,22,11818,Wirtschaft,,,,Wirtschaft
6,288,173,157463,910.1907514450867,282.0,22,14103,Politik,_Themen,Migration,,Migration
7,285,168,275455,1639.6130952380952,1414.0,23,14934,Sport,Fussball,Swiss Football League SFL,,Swiss Football League SFL
8,975,165,226061,1370.0666666666666,436.0,22,27387,Politik,_Themen,Migration,Flüchtlinge,Flüchtlinge
9,28,156,298275,1912.0192307692307,949.0,22,38175,Gesellschaft,,,,Gesellschaft
10,133,151,206424,1367.046357615894,720.0,38,15648,Kultur,Musik,,,Musik
11,1007,150,307383,2049.22,1661.0,100,16369,Politik,Abstimmungen & Wahlen,Wahlen BS 2016,,Wahlen BS 2016
12,177,146,136659,936.0205479452055,388.5,50,11818,Verkehr,,,,Verkehr
13,1019,144,68522,475.84722222222223,363.5,73,3465,Region heute,,,,Region heute
14,738,132,122411,927.3560606060606,490.5,22,5268,Sport,Fussball,Euro 2016,,Euro 2016
15,455,125,241645,1933.16,1475.0,203,11244,Lokales,Stadtentwicklung,,,Stadtentwicklung
16,441,118,152678,1293.8813559322034,853.0,35,14934,Sport,Fussball,Champions League,,Champions League
17,100,114,190570,1671.6666666666667,969.5,26,14429,Region der Schweiz,Kanton Basel-Stadt,,,Kanton Basel-Stadt
18,144,112,149284,1332.892857142857,951.0,119,6704,Kultur,Kunst,,,Kunst
19,33,111,126260,1137.4774774774776,448.0,22,11251,Digital,,,,Digital
20,202,104,111124,1068.5,492.0,35,7306,Baselland,,,,Baselland
21,513,100,173342,1733.42,911.5,24,37126,Politik,Abstimmungen & Wahlen,,,Abstimmungen & Wahlen
22,311,99,92436,933.6969696969697,502.0,51,6817,Sport,Fussball,Nationalmannschaft,,Nationalmannschaft
23,7,98,66692,680.530612244898,122.5,28,25447,_Länder,Europa,Schweiz,,Schweiz
24,126,97,224851,2318.0515463917527,1256.0,35,38175,Region der Schweiz,Region Basel,,,Region Basel
25,241,94,90472,962.468085106383,657.0,53,8107,Kultur,Museen,,,Museen
26,636,90,115126,1279.1777777777777,468.0,26,12608,Gesellschaft,Gesundheit,,,Gesundheit
27,708,90,165331,1837.0111111111112,1288.5,86,14934,Sport,Fussball,Europa League,,Europa League
28,136,89,25024,281.1685393258427,142.0,32,2174,Sport,Tennis,,,Tennis
29,309,87,130011,1494.3793103448277,1019.0,26,11818,Politik,_Organe,Regierungsrat BS,,Regierungsrat BS
30,22,86,62567,727.5232558139535,200.0,25,14358,Politik,Europäische Union,,,Europäische Union
31,1028,83,195188,2351.6626506024095,1731.0,100,16369,Politik,Abstimmungen & Wahlen,Wahlen BS 2016,Regierungsratswahlen,Regierungsratswahlen
32,197,80,90596,1132.45,286.5,25,19312,_Länder,Europa,Türkei,,Türkei
33,538,79,250652,3172.8101265822784,1475.0,24,30947,_Textformen & feste Rubriken,Kommentar,,,Kommentar
34,291,78,119442,1531.3076923076924,612.0,22,25203,Politik,_Themen,Migration,Asylwesen,Asylwesen
35,213,78,71976,922.7692307692307,494.5,50,7135,Verkehr,Öffentlicher Verkehr,,,Öffentlicher Verkehr
36,236,78,105030,1346.5384615384614,709.0,27,10927,Bildung,,,,Bildung
37,176,77,78204,1015.6363636363636,164.0,23,30947,_Länder,Nordamerika,USA,,USA
38,157,75,95346,1271.28,832.0,77,14179,Politik,_Organe,Grosser Rat BS,,Grosser Rat BS
39,595,75,145070,1934.2666666666667,1831.0,22,5362,Sport,Fussball,FC Basel,rotblaulive,rotblaulive
40,851,75,151411,2018.8133333333333,1070.0,22,13347,Polizei,,,,Polizei
41,45,74,66741,901.9054054054054,533.5,59,10867,Kino,,,,Kino
42,219,73,63807,874.068493150685,353.0,37,11979,Umwelt & Natur,,,,Umwelt & Natur
43,537,70,106236,1517.6571428571428,1114.5,130,7502,_Textformen & feste Rubriken,Interview,,,Interview
44,234,70,99898,1427.1142857142856,385.5,33,30947,_Länder,Europa,Frankreich,,Frankreich
45,143,70,165507,2364.385714285714,829.5,37,30947,Medien,,,,Medien
46,304,68,215262,3165.6176470588234,2000.5,22,25447,Wirtschaft,Gastronomie,,,Gastronomie
47,145,66,60107,910.7121212121212,490.0,59,6402,Kultur,Film,,,Film
48,265,65,58291,896.7846153846153,191.0,23,30947,Unglücksfälle und Verbrechen,Terrorismus,,,Terrorismus
49,579,63,104029,1651.2539682539682,536.0,30,14429,Justiz,,,,Justiz
50,215,62,67659,1091.274193548387,807.0,119,5719,Kultur,Ausstellung,,,Ausstellung
51,454,61,90592,1485.1147540983607,903.0,30,9909,Lifestyle,,,,Lifestyle
52,170,59,87003,1474.6271186440679,870.0,119,7067,Kultur,Konzerte,,,Konzerte
53,134,56,57671,1029.8392857142858,557.5,61,10537,Kultur,Literatur & Lyrik,,,Literatur & Lyrik
54,303,56,37881,676.4464285714286,414.5,25,3501,Energie,,,,Energie
55,520,55,78567,1428.490909090909,903.0,30,8027,Lifestyle,Freizeit,,,Freizeit
56,767,54,69560,1288.148148148148,795.5,107,11183,Kultur,Festivals,,,Festivals
57,227,52,85309,1640.5576923076924,155.0,27,30947,_Länder,Naher Osten,Syrien,,Syrien
58,646,51,104219,2043.5098039215686,866.0,93,25447,Basel,,,,Basel
59,503,51,61863,1213.0,593.0,26,8874,Gesellschaft,Arbeit,,,Arbeit
60,297,51,63076,1236.7843137254902,738.0,26,8357,Wirtschaft,Steuern,,,Steuern
61,1002,49,113856,2323.591836734694,1187.0,35,37126,Politik,Abstimmungen & Wahlen,Abstimmungen 28. Februar 2016,,Abstimmungen 28. Februar 2016
62,629,49,111401,2273.4897959183672,1386.0,190,19312,_Textformen & feste Rubriken,Porträt,,,Porträt
63,179,48,112082,2335.0416666666665,1742.0,74,14179,Politik,_Parteien,SVP,,SVP
64,1029,48,106325,2215.1041666666665,1572.0,309,16369,Politik,Abstimmungen & Wahlen,Wahlen BS 2016,Grossratswahlen,Grossratswahlen
65,605,47,33855,720.3191489361702,454.0,48,4198,_Textformen & feste Rubriken,Kultwerk,,,Kultwerk
66,328,47,65112,1385.3617021276596,145.0,30,14179,Politik,_Organe,Nationalrat,,Nationalrat
67,135,47,54930,1168.723404255319,668.0,61,5573,Kultur,Theater,,,Theater
68,38,46,36755,799.0217391304348,576.5,151,5573,Veranstaltung,Theater Veranstaltung,,,Theater Veranstaltung
69,600,46,40782,886.5652173913044,430.0,66,12908,_Textformen & feste Rubriken,Wochenendlich,,,Wochenendlich
70,175,46,41464,901.3913043478261,544.0,33,4931,Lifestyle,Reisen,,,Reisen
71,799,46,80496,1749.9130434782608,1174.0,54,6863,Gesellschaft,Wohnen,,,Wohnen
72,811,45,46926,1042.8,776.0,112,3653,_Textformen & feste Rubriken,Georg Kreis,,,Georg Kreis
73,198,45,87446,1943.2444444444445,1080.0,48,10989,Gesellschaft,Religion,,,Religion
74,174,44,49418,1123.1363636363637,317.5,27,25447,_Länder,Europa,Deutschland,,Deutschland
75,289,43,68669,1596.953488372093,969.0,64,7306,Politik,_Themen,Migration,Integration,Integration
76,475,42,70065,1668.2142857142858,931.5,25,11979,Wirtschaft,Tourismus,,,Tourismus
77,819,41,44563,1086.9024390243903,687.0,100,6055,Theater Basel,,,,Theater Basel
78,1000,41,139201,3395.1463414634145,1411.0,94,38175,Lokales,Fasnacht,Fasnacht Basler 2016,,Fasnacht Basler 2016
79,6,41,62437,1522.8536585365853,150.0,27,30947,_Länder,Europa,,,Europa
80,794,41,33086,806.9756097560976,366.0,86,11060,Zeitmaschine,,,,Zeitmaschine
81,296,40,38873,971.825,303.5,31,14358,_Länder,Europa,Grossbritannien,,Grossbritannien
82,225,40,28901,722.525,439.0,53,4831,_Länder,Europa,Italien,,Italien
83,848,39,25687,658.6410256410256,184.0,35,3717,Forschung,,,,Forschung
84,402,39,71866,1842.7179487179487,1590.0,163,10155,Sport,Fussball,Young Boys Bern,,Young Boys Bern
85,41,38,42881,1128.4473684210527,812.5,107,4142,Veranstaltung,Musik Veranstaltung,,,Musik Veranstaltung
86,758,38,32453,854.0263157894736,419.5,30,5621,Digital,Games,,,Games
87,101,38,38255,1006.7105263157895,372.5,55,11818,Region der Schweiz,Kanton Basel-Landschaft,,,Kanton Basel-Landschaft
88,1018,37,17881,483.27027027027026,214.0,25,2881,Sport,Olympische Spiele,Olympische Spiele 2016,,Olympische Spiele 2016
89,772,37,79508,2148.864864864865,1338.0,88,8423,_Quartiere,Kleinbasel,,,Kleinbasel
90,168,37,19012,513.8378378378378,320.0,29,2275,Umwelt & Natur,Tiere,,,Tiere
91,770,37,95436,2579.3513513513512,1689.0,194,25447,_Quartiere,,,,_Quartiere
92,1042,37,82362,2226.0,1752.0,336,16369,Politik,Abstimmungen & Wahlen,Wahlen BS 2016,Wahlumfrage,Wahlumfrage
93,240,37,56829,1535.918918918919,900.0,33,6627,Lifestyle,Konsum,,,Konsum
94,418,37,59357,1604.2432432432433,860.0,199,10927,Bildung,Schule,,,Schule
95,435,36,53983,1499.5277777777778,688.5,42,12608,Lifestyle,Ernährung,,,Ernährung
96,782,36,62937,1748.25,1515.5,127,8107,Kultur,Museen,Kunstmuseum,,Kunstmuseum
97,456,36,27062,751.7222222222222,374.0,39,3459,Energie,Atomkraft,,,Atomkraft
98,1003,35,106660,3047.4285714285716,1621.0,26,37126,Politik,Abstimmungen & Wahlen,Abstimmungen 28. Februar 2016,Durchsetzungsinitiative,Durchsetzungsinitiative
99,348,35,49020,1400.5714285714287,899.0,82,7387,Bildung,Uni Basel,,,Uni Basel
