,level1,count,pageviews,average
0,Fussball,3779,3748341,991.8870071447473
1,_Themen,1227,944889,770.080684596577
2,Europa,1172,729300,622.2696245733788
3,Abstimmungen & Wahlen,883,1143892,1295.4609286523216
4,_Organe,674,399049,592.0608308605341
5,Kunst,654,247267,378.08409785932724
6,Stadtentwicklung,597,400179,670.3165829145729
7,Musik,561,265188,472.70588235294116
8,Museen,458,245920,536.943231441048
9,_Parteien,386,325565,843.4326424870467
10,Öffentlicher Verkehr,365,216826,594.0438356164384
11,Interview,357,160031,448.26610644257704
12,Ausstellung,330,93365,282.92424242424244
13,Film,319,103631,324.86206896551727
14,Literatur & Lyrik,318,98863,310.88993710691824
15,Gastronomie,261,334906,1283.1647509578545
16,Kanton Basel-Stadt,253,208511,824.1541501976285
17,Freizeit,221,155548,703.8371040723982
18,Theater,219,69625,317.92237442922374
19,Gesundheit,210,137171,653.1952380952381
20,Reisen,201,100283,498.92039800995025
21,Kommentar,198,257920,1302.6262626262626
22,Konzerte,198,104063,525.570707070707
23,Naher Osten,194,212412,1094.9072164948454
24,Ernährung,192,127941,666.359375
25,Fasnacht,191,179008,937.2146596858639
26,Region Basel,188,250987,1335.037234042553
27,Messen,181,157783,871.7292817679559
28,Kultwerk,162,57352,354.0246913580247
29,Konsum,154,153489,996.6818181818181
30,Arbeit,152,90708,596.7631578947369
31,Europäische Union,152,94826,623.8552631578947
32,Kleinbasel,151,110565,732.2185430463576
33,Wochenendlich,150,57238,381.58666666666664
34,Kulturpolitik,149,40441,271.4161073825503
35,Fotografie,145,34766,239.7655172413793
36,Porträt,142,132249,931.330985915493
37,Tennis,142,37441,263.66901408450707
38,Festivals,137,80332,586.3649635036496
39,Religion,134,110492,824.5671641791045
40,Asien,132,79315,600.8712121212121
41,Schule,130,69444,534.1846153846154
42,Clubszene,128,101071,789.6171875
43,Wohnen,121,96898,800.8099173553719
44,Kinder & Jugend,116,36544,315.0344827586207
45,Kulturförderung,114,43632,382.7368421052632
46,St. Johann,108,88700,821.2962962962963
47,Uni Basel,108,63336,586.4444444444445
48,Nordamerika,108,103947,962.4722222222222
49,Finanzwirtschaft,105,48583,462.6952380952381
50,Georg Kreis,104,52127,501.22115384615387
51,Popkultur Basel,103,65359,634.5533980582525
52,Gundeli,101,41981,415.65346534653463
53,Steuern,99,112266,1134.0
54,Tiere,99,25656,259.1515151515151
55,Olympische Spiele,99,29923,302.25252525252523
56,Terrorismus,96,61211,637.6145833333334
57,Familie,94,50489,537.1170212765958
58,Tourismus,91,86260,947.9120879120879
59,Architektur,90,67223,746.9222222222222
60,Medizin,82,54599,665.8414634146342
61,Fernsehen,81,64697,798.7283950617284
62,Arbeitsmarkt,80,48916,611.45
63,Pharmaindustrie,80,41066,513.325
64,Journalismus,77,94681,1229.6233766233765
65,Theater Veranstaltung,75,41030,547.0666666666667
66,Rassismus,75,86471,1152.9466666666667
67,Musik Veranstaltung,75,45967,612.8933333333333
68,Design,73,39818,545.4520547945206
69,Detailhandel,71,36333,511.7323943661972
70,Atomkraft,71,38401,540.8591549295775
71,Kriminalität,69,45804,663.8260869565217
72,Banken,68,27516,404.6470588235294
73,Finanzpolitik,68,32584,479.1764705882353
74,Tanz,67,40043,597.6567164179105
75,Gleichstellung,65,37787,581.3384615384615
76,Konzert Veranstaltung,65,47860,736.3076923076923
77,Humor,61,22884,375.1475409836066
78,Kreativwirtschaft,61,42558,697.672131147541
79,Baschi Dürr,61,87069,1427.360655737705
80,Nachtgang,60,40498,674.9666666666667
81,Datenschutz,58,45105,777.6724137931035
82,TagesWoche,58,34988,603.2413793103449
83,Überwachung,57,46735,819.9122807017544
84,Kaserne Basel,57,34867,611.7017543859649
85,Innenstadt,57,28397,498.1929824561403
86,Internationale Organisationen,57,8844,155.1578947368421
87,Messe Basel,56,18141,323.94642857142856
88,Kanton Basel-Landschaft,55,39487,717.9454545454546
89,Soziale Medien,54,68894,1275.8148148148148
90,Kinder,54,32039,593.3148148148148
91,Games,53,33674,635.3584905660377
92,Ski alpin,52,8601,165.40384615384616
93,Südamerika,51,17748,348.0
94,Universitäten,50,22150,443.0
95,Menschenrechte,50,31846,636.92
96,Mode,50,39608,792.16
97,Technologie,49,31381,640.4285714285714
98,Fanverhalten,49,48507,989.9387755102041
99,Afrika,49,39912,814.530612244898
100,Zoo Basel,49,13215,269.6938775510204
101,Bewegungen,48,33769,703.5208333333334
102,Gewerkschaften,48,15154,315.7083333333333
103,Landwirtschaft,47,12614,268.3829787234043
104,Roche,47,40159,854.4468085106383
105,Eishockey,46,6786,147.52173913043478
106,Auch das noch,46,54043,1174.8478260869565
107,Basler Zeitung,44,43153,980.75
108,Novartis,44,21038,478.1363636363636
109,Abfall,43,11267,262.0232558139535
110,Klimawandel,43,27263,634.0232558139535
111,Gefordert,42,3376,80.38095238095238
112,Galerien,42,11686,278.23809523809524
113,Drogen,42,38815,924.1666666666666
114,Universitätsspital Basel,41,23537,574.0731707317074
115,Boxen,41,25510,622.1951219512196
116,Psychiatrie,41,11716,285.7560975609756
117,Leichtathletik,40,7404,185.1
118,Psychologie,39,16169,414.5897435897436
119,Hans-Peter Wessels,38,14947,393.3421052631579
120,Jugendkultur,38,46014,1210.8947368421052
121,Sexualität,37,18859,509.7027027027027
122,Guy Morin,37,31033,838.7297297297297
123,Comic,37,14433,390.0810810810811
124,Tierschutz,37,8993,243.05405405405406
125,Performances,36,17938,498.27777777777777
126,Erneuerbare Energien,34,11669,343.20588235294116
127,Flugverkehr,34,12687,373.1470588235294
128,Handball,34,4673,137.44117647058823
129,Klybeckquai,34,10309,303.20588235294116
130,Sommer,34,64472,1896.235294117647
131,Debatte,34,3769,110.8529411764706
132,Velo,33,27229,825.1212121212121
133,Pferdesport,32,5824,182.0
134,Wahlen BS 2012,32,3054,95.4375
135,Schifffahrt,32,11669,364.65625
136,Facebook,32,33150,1035.9375
137,Kampfsport,32,16073,502.28125
138,Immobilien,31,44932,1449.4193548387098
139,Kulturgeschichte,31,15006,484.06451612903226
140,Christoph Eymann,31,14260,460.0
141,Weihnachten,31,8737,281.83870967741933
142,Dokumentation Film,30,14828,494.26666666666665
143,Prostitution,29,23583,813.2068965517242
144,SRF,29,13369,461.0
145,Fotoarchiv Kurt Wyss,29,1576,54.3448275862069
146,Oper,28,10938,390.64285714285717
147,Apps,28,33188,1185.2857142857142
148,5 Jahre TagesWoche,28,40937,1462.0357142857142
149,Offspaces,27,17327,641.7407407407408
150,Rheinhafen,27,15316,567.2592592592592
151,Knackeboul,27,122358,4531.777777777777
152,EuroAirport,27,7669,284.037037037037
153,Dreispitz,27,7849,290.7037037037037
154,Ausstellung Veranstaltung,26,18731,720.4230769230769
155,Eva Herzog,26,23020,885.3846153846154
156,Roger Federer,26,9966,383.3076923076923
157,Polizeieinsatz an der Art,25,1910,76.4
