,topic_id,level0,level1,level2,level3,title
0,4,Sport,Handball,,,Handball
1,7,_Länder,Europa,Schweiz,,Schweiz
2,15,Veranstaltung,Movie Veranstaltung,,,Movie Veranstaltung
3,21,_Zeitgeschichte,Finanzkrise,,,Finanzkrise
4,22,Politik,Europäische Union,,,Europäische Union
5,34,_Personen,,,,_Personen
6,35,_Personen,Markus Somm,,,Markus Somm
7,37,_Personen,Michéline Calmy-Rey,,,Michéline Calmy-Rey
8,38,Veranstaltung,Theater Veranstaltung,,,Theater Veranstaltung
9,43,Veranstaltung,Zirkus Veranstaltung,,,Zirkus Veranstaltung
10,46,Kino,Abenteuer Film,,,Abenteuer Film
11,47,Kino,Action Film,,,Action Film
12,48,Kino,Adult Film,,,Adult Film
13,49,Kino,Animation Film,,,Animation Film
14,50,Kino,Biografie Film,,,Biografie Film
15,51,Kino,Crime Film,,,Crime Film
16,54,Kino,Familienfilm Film,,,Familienfilm Film
17,55,Kino,Fantasy Film,,,Fantasy Film
18,56,Kino,Film-Noir Film,,,Film-Noir Film
19,57,Kino,Historischer Film,,,Historischer Film
20,58,Kino,Horror Film,,,Horror Film
21,60,Kino,Kriegsfilm Film,,,Kriegsfilm Film
22,61,Kino,Kurzfilm Film,,,Kurzfilm Film
23,62,Kino,Musical Film,,,Musical Film
24,63,Kino,Musikfilm Film,,,Musikfilm Film
25,64,Kino,Mystery Film,,,Mystery Film
26,65,Kino,Romanze Film,,,Romanze Film
27,66,Kino,Sci-Fi Film,,,Sci-Fi Film
28,67,Kino,Sport Film,,,Sport Film
29,68,Kino,Thriller Film,,,Thriller Film
30,69,Kino,Western Film,,,Western Film
31,70,Kino,Anderer Film,,,Anderer Film
32,99,Region der Schweiz,,,,Region der Schweiz
33,102,Region der Schweiz,Kanton Aargau,,,Kanton Aargau
34,103,Region der Schweiz,Kanton Appenzell Ausserrhoden,,,Kanton Appenzell Ausserrhoden
35,104,Region der Schweiz,Kanton Appenzell Innerrhoden,,,Kanton Appenzell Innerrhoden
36,105,Region der Schweiz,Kanton Bern,,,Kanton Bern
37,106,Region der Schweiz,Kanton Freiburg,,,Kanton Freiburg
38,107,Region der Schweiz,Kanton Genf,,,Kanton Genf
39,108,Region der Schweiz,Kanton Glarus,,,Kanton Glarus
40,109,Region der Schweiz,Kanton Graubünden,,,Kanton Graubünden
41,110,Region der Schweiz,Kanton Jura,,,Kanton Jura
42,111,Region der Schweiz,Kanton Luzern,,,Kanton Luzern
43,112,Region der Schweiz,Kanton Neuenburg,,,Kanton Neuenburg
44,113,Region der Schweiz,Kanton Nidwalden,,,Kanton Nidwalden
45,114,Region der Schweiz,Kanton Obwalden,,,Kanton Obwalden
46,115,Region der Schweiz,Kanton Schaffhausen,,,Kanton Schaffhausen
47,116,Region der Schweiz,Kanton Schwyz,,,Kanton Schwyz
48,117,Region der Schweiz,Kanton Solothurn,,,Kanton Solothurn
49,118,Region der Schweiz,Kanton St. Gallen,,,Kanton St. Gallen
50,119,Region der Schweiz,Kanton Tessin,,,Kanton Tessin
51,120,Region der Schweiz,Kanton Thurgau,,,Kanton Thurgau
52,121,Region der Schweiz,Kanton Uri,,,Kanton Uri
53,122,Region der Schweiz,Kanton Waadt,,,Kanton Waadt
54,123,Region der Schweiz,Kanton Wallis,,,Kanton Wallis
55,124,Region der Schweiz,Kanton Zug,,,Kanton Zug
56,136,Sport,Tennis,,,Tennis
57,138,_Länder,Afrika,,,Afrika
58,140,_Länder,Australien/Ozeanien,,,Australien/Ozeanien
59,149,_Firmen,UBS,,,UBS
60,150,_Firmen,Credit Suisse,,,Credit Suisse
61,151,_Personen,Roger Federer,,,Roger Federer
62,152,_Personen,Novak Djokovic,,,Novak Djokovic
63,153,Wirtschaft,Banken,,,Banken
64,158,Politik,_Organe,Bundesrat,,Bundesrat
65,168,Umwelt & Natur,Tiere,,,Tiere
66,171,Kultur,Fotografie,,,Fotografie
67,172,_Länder,Asien,Pakistan,,Pakistan
68,173,_Länder,Asien,Afghanistan,,Afghanistan
69,182,Politik,_Parteien,BDP,,BDP
70,183,Politik,_Parteien,GLP,,GLP
71,189,_Zeitgeschichte,Schweizerhalle-Brand,,,Schweizerhalle-Brand
72,191,_Firmen,Sandoz,,,Sandoz
73,192,_Firmen,Ciba,,,Ciba
74,200,_Länder,Asien,Thailand,,Thailand
75,204,Politik,_Organe,Landrat BL,,Landrat BL
76,206,Sport,Volleyball,,,Volleyball
77,212,Sport,Eishockey,,,Eishockey
78,216,_Länder,Asien,Japan,,Japan
79,217,Naturereignisse,Erdbeben,,,Erdbeben
80,218,_Länder,Asien,China,,China
81,221,_Länder,Naher Osten,,,Naher Osten
82,222,_Länder,Naher Osten,Israel,,Israel
83,223,_Länder,Asien,Iran,,Iran
84,225,_Länder,Europa,Italien,,Italien
85,226,_Personen,Silvio Berlusconi,,,Silvio Berlusconi
86,231,Wirtschaft,Börse,,,Börse
87,233,Wissenschaft,,,,Wissenschaft
88,242,_Länder,Europa,Kosovo,,Kosovo
89,243,_Länder,Europa,Bosnien-Herzegowina,,Bosnien-Herzegowina
90,244,_Länder,Europa,Slowenien,,Slowenien
91,246,_Länder,Europa,Mazedonien,,Mazedonien
92,250,Gesellschaft,Rauchen,,,Rauchen
93,253,_Firmen,Bank Sarasin,,,Bank Sarasin
94,255,Sport,Fussball,Xamax Neuenburg,,Xamax Neuenburg
95,256,_Zeitgeschichte,Fukushima,,,Fukushima
96,257,_Personen,Sabine Pegoraro,,,Sabine Pegoraro
97,268,Unglücksfälle und Verbrechen,Völkermord,,,Völkermord
98,271,_Personen,Andreas Büttiker,,,Andreas Büttiker
99,273,_Zeitgeschichte,Occupy-Bewegung,,,Occupy-Bewegung
100,277,Gesellschaft,Hooliganismus,,,Hooliganismus
101,279,_Personen,Peter Zwick,,,Peter Zwick
102,281,_Länder,Europa,Spanien,,Spanien
103,286,Verkehr,Öffentlicher Verkehr,BLT,,BLT
104,294,_Länder,Asien,Burma,,Burma
105,295,_Länder,Europa,Norwegen,,Norwegen
106,298,_Länder,Afrika,Libyen,,Libyen
107,299,_Länder,Afrika,Tunesien,,Tunesien
108,300,_Firmen,Google,,,Google
109,302,_Personen,Doris Leuthard,,,Doris Leuthard
110,303,Energie,,,,Energie
111,305,Politik,Gewerkschaften,,,Gewerkschaften
112,306,Gesellschaft,Altersvorsorge,,,Altersvorsorge
113,308,_Länder,Naher Osten,Ägypten,,Ägypten
