,topic_id,count,pageviews,average,median,min,max,level0,level1,level2,level3,title
0,740,5,28915,5783.0,482.0,70,27387,_Länder,Naher Osten,Palästina,,Palästina
1,451,5,28162,5632.4,5034.0,331,14179,_Personen,Christoph Blocher,,,Christoph Blocher
2,324,6,32292,5382.0,353.5,161,27387,_Länder,Naher Osten,Libanon,,Libanon
3,771,5,26393,5278.6,2266.0,236,21122,_Quartiere,Gundeli,,,Gundeli
4,793,4,20359,5089.75,888.5,237,18345,Medien,Watson,,,Watson
5,634,11,55773,5070.272727272727,1230.0,413,18345,Medien,Soziale Medien,,,Soziale Medien
6,1004,25,122358,4894.32,3689.0,579,18345,_Zeitgeschichte,Knackeboul,,,Knackeboul
7,358,9,40580,4508.888888888889,1793.0,528,21498,Medien,Basler Zeitung,,,Basler Zeitung
8,491,9,40262,4473.555555555556,1921.0,42,25447,_Jahreszeiten,Sommer,,,Sommer
9,415,5,21606,4321.2,787.0,114,15648,Wirtschaft,Musikindustrie,,,Musikindustrie
10,739,10,36186,3618.6,1848.5,424,14175,Kultur,Kreativwirtschaft,,,Kreativwirtschaft
11,362,25,90307,3612.28,1103.0,147,21498,Medien,Journalismus,,,Journalismus
12,1000,41,139201,3395.1463414634145,1411.0,94,38175,Lokales,Fasnacht,Fasnacht Basler 2016,,Fasnacht Basler 2016
13,657,14,46714,3336.714285714286,1886.5,347,21122,Restaurant: Küche,,,,Restaurant: Küche
14,538,79,250652,3172.8101265822784,1475.0,24,30947,_Textformen & feste Rubriken,Kommentar,,,Kommentar
15,304,68,215262,3165.6176470588234,2000.5,22,25447,Wirtschaft,Gastronomie,,,Gastronomie
16,272,7,22069,3152.714285714286,1952.0,157,10989,Gesellschaft,Bewegungen,,,Bewegungen
17,322,10,31365,3136.5,371.0,36,27387,_Länder,Asien,Irak,,Irak
18,1044,5,15674,3134.8,2284.0,728,8113,Erklär-Bär,,,,Erklär-Bär
19,742,15,46027,3068.4666666666667,1224.0,425,13347,Sport,Fanverhalten,,,Fanverhalten
20,789,13,39712,3054.769230769231,2885.0,856,6862,Wirtschaft,Immobilien,,,Immobilien
21,1003,35,106660,3047.4285714285716,1621.0,26,37126,Politik,Abstimmungen & Wahlen,Abstimmungen 28. Februar 2016,Durchsetzungsinitiative,Durchsetzungsinitiative
22,775,24,71282,2970.0833333333335,1943.5,60,12394,Gesellschaft,Rassismus,,,Rassismus
23,199,28,82645,2951.6071428571427,1996.5,87,9825,Kultur,Clubszene,,,Clubszene
24,898,7,20096,2870.8571428571427,1330.0,1054,7474,Lokales,Stadtentwicklung,Roche-Turm,,Roche-Turm
25,593,29,83051,2863.8275862068967,1971.0,93,11251,_Personen,Baschi Dürr,,,Baschi Dürr
26,899,8,22427,2803.375,1280.5,307,6685,Lokales,Stadtentwicklung,Roche-Areal,,Roche-Areal
27,862,5,13962,2792.4,2761.0,487,5719,Kultur,Offspaces,,,Offspaces
28,759,26,70651,2717.346153846154,2076.5,236,8423,_Quartiere,St. Johann,,,St. Johann
29,622,10,26745,2674.5,2173.0,377,7806,Lifestyle,Mode,,,Mode
30,962,11,29361,2669.181818181818,1304.0,114,9418,Verbrechen,,,,Verbrechen
31,532,6,15992,2665.3333333333335,889.0,370,11979,Wirtschaft,Rohstoffhandel,,,Rohstoffhandel
32,770,37,95436,2579.3513513513512,1689.0,194,25447,_Quartiere,,,,_Quartiere
33,25,8,20588,2573.5,123.5,68,17861,_Länder,Nordamerika,,,Nordamerika
34,247,10,24318,2431.8,1218.5,57,11818,Bildung,Berufslehre,,,Berufslehre
35,968,7,16802,2400.285714285714,2243.0,375,5209,Lokales,Stadtentwicklung,Basler Plätze,,Basler Plätze
36,359,5,11930,2386.0,528.0,112,9521,Medien,SRF,,,SRF
37,763,19,45107,2374.0526315789475,2045.0,399,5719,Kultur,Messen,Art Basel,,Art Basel
38,143,70,165507,2364.385714285714,829.5,37,30947,Medien,,,,Medien
39,1028,83,195188,2351.6626506024095,1731.0,100,16369,Politik,Abstimmungen & Wahlen,Wahlen BS 2016,Regierungsratswahlen,Regierungsratswahlen
40,179,48,112082,2335.0416666666665,1742.0,74,14179,Politik,_Parteien,SVP,,SVP
41,1002,49,113856,2323.591836734694,1187.0,35,37126,Politik,Abstimmungen & Wahlen,Abstimmungen 28. Februar 2016,,Abstimmungen 28. Februar 2016
42,126,97,224851,2318.0515463917527,1256.0,35,38175,Region der Schweiz,Region Basel,,,Region Basel
43,629,49,111401,2273.4897959183672,1386.0,190,19312,_Textformen & feste Rubriken,Porträt,,,Porträt
