Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert
/de/2017_2/basel/,7657,5555,00:01:03,420,"39,29 %","24,25 %","0,00 CHF"
/de/2017_2/basel/739636,5214,4651,00:04:22,2074,"73,53 %","52,82 %","0,00 CHF"
/de/2017_2/leben/739595,4887,4538,00:04:34,3963,"91,42 %","83,14 %","0,00 CHF"
/de/2017_1/international/739238,4125,3651,00:05:25,3379,"86,36 %","81,82 %","0,00 CHF"
/de/2017_2/basel/739842,4051,3778,00:03:09,2270,"87,80 %","66,90 %","0,00 CHF"
/de/2017_1/sport/739452,3945,3708,00:03:42,2224,"88,80 %","74,04 %","0,00 CHF"
/de/2017_2/sport/,3860,2976,00:01:00,160,"43,12 %","31,04 %","0,00 CHF"
/de/2017_2/basel/739832,3273,2948,00:03:36,2079,"86,72 %","70,64 %","0,00 CHF"
/de/2017_2/basel/739642,3115,2812,00:03:56,1012,"64,82 %","43,21 %","0,00 CHF"
/de/2017_2/schweiz/,3045,2384,00:01:16,83,"40,96 %","21,18 %","0,00 CHF"
/de/2017_2/international/739442,2377,2049,00:05:07,937,"84,20 %","57,59 %","0,00 CHF"
/de/2017_2/international/,2372,1800,00:01:27,93,"39,78 %","24,87 %","0,00 CHF"
/de/2017_2/basel/739519,2365,2168,00:04:51,1100,"74,27 %","56,15 %","0,00 CHF"
/de/2017_2/basel/739661,2355,2184,00:02:37,1852,"88,71 %","79,11 %","0,00 CHF"
/de/2017_2/basel/739605,2274,1920,00:03:25,562,"68,86 %","44,06 %","0,00 CHF"
/de/2017_2/kultur/,2240,1835,00:01:20,73,"52,05 %","30,22 %","0,00 CHF"
/de/2017_2/basel/739734,2154,2025,00:02:40,1522,"85,09 %","71,77 %","0,00 CHF"
/de/2017_2/basel/739537,2036,1850,00:02:10,756,"76,72 %","57,42 %","0,00 CHF"
/de/2017_2/basel/739714,1912,1814,00:03:07,1218,"91,71 %","72,23 %","0,00 CHF"
/de/2017_1/basel/739393,1871,1694,00:03:47,397,"64,99 %","44,68 %","0,00 CHF"
/de/2017_2/sport/739561,1828,1741,00:03:15,487,"83,57 %","58,86 %","0,00 CHF"
/de/2017_2/sport/739846,1745,1518,00:03:29,885,"86,21 %","67,97 %","0,00 CHF"
/de/2017_2/basel/739822,1730,1619,00:02:48,576,"85,42 %","52,54 %","0,00 CHF"
/de/2017_1/schweiz/739248,1689,1542,00:04:05,1243,"89,22 %","75,84 %","0,00 CHF"
/omniticker/,1680,488,00:01:44,182,"35,16 %","12,38 %","0,00 CHF"
/de/2017_2/basel/739711,1605,1504,00:02:31,438,"83,56 %","45,61 %","0,00 CHF"
/de/2017_2/basel/739653,1593,1473,00:03:55,244,"66,39 %","40,55 %","0,00 CHF"
/de/2017_2/sport/739680,1260,1194,00:03:01,346,"82,95 %","58,10 %","0,00 CHF"
/de/2017_2/kultur/739506,1249,1100,00:03:26,580,"82,41 %","60,29 %","0,00 CHF"
/de/2017_2/sport/739741,1166,1097,00:02:21,404,"83,91 %","61,06 %","0,00 CHF"
/de/2017_2/leben/,1156,942,00:01:13,27,"33,33 %","33,82 %","0,00 CHF"
/de/2017_2/basel/739456,1089,998,00:03:12,349,"77,94 %","50,41 %","0,00 CHF"
/de/2017_2/basel/739416,1055,932,00:02:59,281,"78,65 %","47,96 %","0,00 CHF"
/de/2017_2/basel/739438,1046,926,00:03:39,320,"79,38 %","50,86 %","0,00 CHF"
/de/blogs/listomania/739916,1039,982,00:04:20,876,"91,21 %","85,66 %","0,00 CHF"
/de/2017_2/leben/739523,1025,975,00:03:23,420,"86,67 %","55,32 %","0,00 CHF"
/de/2017_2/,1005,708,00:01:15,197,"36,04 %","29,05 %","0,00 CHF"
/de/blogs/Spieltrieb/739464,1002,955,00:02:58,394,"84,01 %","58,68 %","0,00 CHF"
/de/partner/article/709314,993,925,00:02:36,888,"65,54 %","64,05 %","0,00 CHF"
/classifieds,940,669,00:01:18,328,"58,54 %","34,79 %","0,00 CHF"
/de/2013_51/kultur/,926,8,00:10:51,8,"0,00 %","0,86 %","0,00 CHF"
/classifieds/view/1630/5-5-zimmer-wohnung-in-kleinbasel,878,635,00:00:59,31,"67,74 %","20,96 %","0,00 CHF"
/de/2017_2/basel/739656,815,762,00:02:22,263,"83,27 %","49,33 %","0,00 CHF"
/de/blogs/bildstoff/739828,793,764,00:02:33,356,"88,76 %","60,78 %","0,00 CHF"
/de/blogs/Spieltrieb/739870,778,721,00:04:12,579,"92,40 %","82,78 %","0,00 CHF"
/de/2017_2/basel/739747,718,638,00:03:38,275,"76,36 %","50,28 %","0,00 CHF"
/de/2017_2/basel/739831,718,671,00:02:13,238,"64,29 %","46,38 %","0,00 CHF"
/de/2017_2/basel/739706,688,617,00:02:48,179,"66,48 %","40,55 %","0,00 CHF"
/de/2016_52/basel/738104,668,621,00:07:08,615,"91,22 %","89,97 %","0,00 CHF"
/de/2017_2/kultur/739417,661,615,00:04:18,182,"79,12 %","58,09 %","0,00 CHF"
/classifieds/view/1628/12-5-zimmer-wohnung-sucht-gross-wg,626,417,00:00:52,24,"50,00 %","23,48 %","0,00 CHF"
/de/2017_2/basel/739751,595,537,00:02:16,99,"65,66 %","42,86 %","0,00 CHF"
/de/2017_2/basel/739612,590,556,00:02:23,285,"84,56 %","61,53 %","0,00 CHF"
/de/2017_2/basel/739711/Ein-anthroposophischer-Neubau-fürs-Gundelihtm,571,528,00:02:39,517,"86,07 %","84,24 %","0,00 CHF"
/de/blogs/,559,390,00:00:22,53,"7,55 %","34,53 %","0,00 CHF"
/classifieds/view/1621/landhaus-im-kanton-jura-zu-verkaufen,514,285,00:00:38,22,"77,27 %","17,12 %","0,00 CHF"
/de/2017_2/basel/739613,514,453,00:02:59,64,"73,44 %","37,35 %","0,00 CHF"
/de/2012_05/basel/385106,513,419,00:01:46,398,"63,57 %","62,57 %","0,00 CHF"
/wetter,476,455,00:02:33,44,"75,00 %","66,18 %","0,00 CHF"
/de/2017_2/basel/739537/Das-sind-die-besten-Orte-zum-Schlitteln-in-der-Region-Baselhtm,472,373,00:01:20,323,"75,85 %","70,76 %","0,00 CHF"
/de/2017_2/basel/739616,466,424,00:02:57,186,"77,96 %","55,15 %","0,00 CHF"
/classifieds/view/1629/6-5-zimmer-wohnung-in-kleinbasel,465,343,00:01:07,16,"68,75 %","18,49 %","0,00 CHF"
/de/2017_2/sport/739545,444,416,00:03:23,72,"73,61 %","49,77 %","0,00 CHF"
/de/2017_1/sport/739391,434,421,00:03:03,97,"80,41 %","50,92 %","0,00 CHF"
/de/2017_2/schweiz/739429,418,406,00:01:50,24,"66,67 %","35,65 %","0,00 CHF"
/de/2011_43/basel/,413,221,00:01:03,214,"10,75 %","14,29 %","0,00 CHF"
/de/2017_2/sport/739486,411,397,00:02:10,32,"78,12 %","46,72 %","0,00 CHF"
/de/2017_2/sport/739824,410,392,00:02:01,26,"61,54 %","40,24 %","0,00 CHF"
/de/2014_29/dialog/,406,68,00:04:43,56,"25,00 %","12,07 %","0,00 CHF"
/de/2017_2/basel/739599,401,375,00:02:32,219,"84,47 %","62,34 %","0,00 CHF"
/de/2017_2/basel/739672,397,354,00:04:00,156,"86,54 %","57,68 %","0,00 CHF"
/de/2017_2/schweiz/739787,396,387,00:01:45,49,"79,59 %","41,16 %","0,00 CHF"
/de/2017_2/sport/739909,390,373,00:04:01,194,"89,18 %","68,46 %","0,00 CHF"
/classifieds/view/1579/gnstige-140m2-1-loft-zimmer-wohnung-zu-vermieten,388,250,00:00:33,11,"45,45 %","18,30 %","0,00 CHF"
/de/2017_2/dialog/,386,219,00:04:10,46,"19,57 %","22,54 %","0,00 CHF"
/de/2017_1/sport/739258,377,356,00:04:06,213,"92,02 %","72,15 %","0,00 CHF"
/de/2017_2/international/739858,376,366,00:01:41,22,"77,27 %","37,77 %","0,00 CHF"
/de/2017_2/basel/739525,370,343,00:02:25,52,"80,77 %","41,35 %","0,00 CHF"
/de/2017_2/international/739508,369,338,00:03:23,37,"81,08 %","38,48 %","0,00 CHF"
/de/2017_2/basel/739529,365,332,00:02:31,85,"67,06 %","38,90 %","0,00 CHF"
